,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,760958000.0,789582000.0,875059000.0,996810000.0,990533000.0,1046487000.0,1089752000.0,1169258000.0,1197248000.0,,,,,,,789582000.0,996810000.0,1046487000.0,1169258000.0,,,,760958000.0,996810000.0,1089752000.0,,,,789582000.0,1046487000.0,,,,990533000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,365650000.0,383816000.0,377165000.0,,,375147000.0,394811000.0,449820000.0,525122000.0,535597000.0,543211000.0,565168000.0,615042000.0,614463000.0,,,,365650000.0,377165000.0,,394811000.0,525122000.0,543211000.0,615042000.0,,,377165000.0,375147000.0,525122000.0,565168000.0,,,377165000.0,394811000.0,543211000.0,,,,535597000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,128346000.0,138783000.0,152553000.0,153488000.0,139839000.0,140467000.0,153695000.0,169308000.0,191329000.0,198279000.0,214694000.0,238018000.0,247613000.0,258313000.0,,,,128346000.0,152553000.0,139839000.0,153695000.0,191329000.0,214694000.0,247613000.0,,,152553000.0,140467000.0,191329000.0,238018000.0,,,152553000.0,153695000.0,214694000.0,,,139839000.0,198279000.0,,139839000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,111142000.0,112938000.0,110008000.0,104712000.0,101950000.0,98683000.0,113215000.0,124034000.0,127994000.0,122847000.0,134691000.0,137913000.0,143201000.0,158194000.0,,,,111142000.0,110008000.0,101950000.0,113215000.0,127994000.0,134691000.0,143201000.0,,,110008000.0,98683000.0,127994000.0,137913000.0,,,110008000.0,113215000.0,134691000.0,,,101950000.0,122847000.0,,101950000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,96285000.0,96574000.0,76704000.0,75690000.0,113140000.0,132629000.0,105685000.0,104932000.0,126109000.0,105556000.0,124186000.0,78747000.0,123877000.0,131333000.0,,,,96285000.0,76704000.0,113140000.0,105685000.0,126109000.0,124186000.0,123877000.0,,,76704000.0,132629000.0,126109000.0,78747000.0,,,76704000.0,105685000.0,124186000.0,,,113140000.0,105556000.0,,113140000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,16794000.0,17667000.0,17748000.0,15500000.0,14569000.0,16432000.0,31176000.0,30469000.0,,,,,,,16794000.0,17748000.0,14569000.0,31176000.0,,,,,17748000.0,16432000.0,,,,16794000.0,14569000.0,,,,15500000.0,,,,,CommonMetricExtracted
Taxes,,,,,,,33690000.0,28345000.0,16251000.0,25811000.0,33774000.0,37117000.0,26346000.0,20857000.0,22953000.0,26645000.0,28615000.0,16721000.0,26105000.0,25420000.0,,,,33690000.0,16251000.0,33774000.0,26346000.0,22953000.0,28615000.0,26105000.0,,,16251000.0,37117000.0,22953000.0,16721000.0,,,16251000.0,26346000.0,28615000.0,,,33774000.0,26645000.0,,33774000.0,,,CommonMetricExtracted
NetIncome,,,,,,22429000.0,42282000.0,48879000.0,51351000.0,35711000.0,62567000.0,62882000.0,61364000.0,66130000.0,82770000.0,58711000.0,72331000.0,44060000.0,66246000.0,86852000.0,,,,42282000.0,51351000.0,62567000.0,61364000.0,82770000.0,72331000.0,66246000.0,,22429000.0,51351000.0,62882000.0,82770000.0,44060000.0,,,51351000.0,61364000.0,72331000.0,,22429000.0,62567000.0,58711000.0,,62567000.0,22429000.0,,CommonMetricExtracted
Cash,,,,,,197858000.0,146733000.0,133747000.0,82686000.0,81712000.0,132631000.0,126351000.0,122243000.0,,156548000.0,188699000.0,205635000.0,150365000.0,186264000.0,161789000.0,,,197858000.0,133747000.0,81712000.0,126351000.0,,188699000.0,150365000.0,161789000.0,,133747000.0,132631000.0,,205635000.0,161789000.0,,133747000.0,126351000.0,188699000.0,161789000.0,,81712000.0,156548000.0,161789000.0,81712000.0,161789000.0,161789000.0,161789000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,198412000.0,182326000.0,230896000.0,224002000.0,251689000.0,264557000.0,37227000.0,281805000.0,266575000.0,35802000.0,328289000.0,351188000.0,349676000.0,,,,198412000.0,230896000.0,251689000.0,37227000.0,266575000.0,328289000.0,349676000.0,,198412000.0,224002000.0,37227000.0,35802000.0,349676000.0,,198412000.0,251689000.0,266575000.0,349676000.0,,230896000.0,281805000.0,349676000.0,230896000.0,349676000.0,349676000.0,349676000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,440355000.0,475375000.0,474370000.0,518226000.0,559938000.0,554266000.0,,669082000.0,698345000.0,,765955000.0,862226000.0,900882000.0,,,,440355000.0,474370000.0,559938000.0,,698345000.0,765955000.0,900882000.0,,440355000.0,518226000.0,,,900882000.0,,440355000.0,559938000.0,698345000.0,900882000.0,,474370000.0,669082000.0,900882000.0,474370000.0,900882000.0,900882000.0,900882000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,39429000.0,35061000.0,38326000.0,35992000.0,33116000.0,44651000.0,,84429000.0,81759000.0,,71787000.0,65545000.0,56595000.0,,,,39429000.0,38326000.0,33116000.0,,81759000.0,71787000.0,56595000.0,,39429000.0,35992000.0,,,56595000.0,,39429000.0,33116000.0,81759000.0,56595000.0,,38326000.0,84429000.0,56595000.0,38326000.0,56595000.0,56595000.0,56595000.0,CommonMetricExtracted
Goodwill,,,,,,,220013000.0,233365000.0,233599000.0,225269000.0,219724000.0,201094000.0,210080000.0,255816000.0,259164000.0,272322000.0,321330000.0,304036000.0,308596000.0,316041000.0,,,,233365000.0,225269000.0,201094000.0,255816000.0,272322000.0,304036000.0,316041000.0,,233365000.0,219724000.0,255816000.0,321330000.0,316041000.0,,233365000.0,201094000.0,272322000.0,316041000.0,,225269000.0,259164000.0,316041000.0,225269000.0,316041000.0,316041000.0,316041000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,846941000.0,868980000.0,854632000.0,877233000.0,891879000.0,904534000.0,,1283030000.0,1332000000.0,,1348553000.0,1443046000.0,1500687000.0,,,,846941000.0,854632000.0,891879000.0,,1332000000.0,1348553000.0,1500687000.0,,846941000.0,877233000.0,,,1500687000.0,,846941000.0,891879000.0,1332000000.0,1500687000.0,,854632000.0,1283030000.0,1500687000.0,854632000.0,1500687000.0,1500687000.0,1500687000.0,CommonMetricExtracted
