,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,41984221.0,55399112.0,58043161.0,,,,,,,,,,55399112.0,,,,,,41984221.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,42947952.0,46422064.0,,,,,,,,,,42947952.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,6112493.0,8479578.0,10155828.0,,,,,,,,,,8479578.0,,,,,,6112493.0,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,1849534.0,420341.0,,,,,,,,,,1849534.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,27738.0,336486.0,440562.0,,,,,,,,,,336486.0,,,,,,27738.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,-92282.0,387498.0,-46823.0,,,,,,,,,,387498.0,,,,,,-92282.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,74370.0,,1101.0,,,,,,,,,74370.0,1101.0,,,,,,1101.0,,,,,1101.0,,,,1101.0,,1101.0,1101.0,1101.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,4410270.0,,111874.0,,,,,,,,,4410270.0,111874.0,,,,,,111874.0,,,,,111874.0,,,,111874.0,,111874.0,111874.0,111874.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,727654.0,,3263711.0,,,,,,,,,727654.0,3263711.0,,,,,,3263711.0,,,,,3263711.0,,,,3263711.0,,3263711.0,3263711.0,3263711.0,CommonMetricExtracted
