,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2033000.0,2109000.0,2810000.0,4035000.0,5358000.0,6813000.0,8272000.0,9704000.0,10577000.0,,,,,,,2109000.0,4035000.0,6813000.0,9704000.0,,,,2033000.0,4035000.0,8272000.0,,,,2109000.0,6813000.0,,,,5358000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,27475000.0,38617000.0,43418000.0,51601000.0,76195000.0,103467000.0,149755000.0,170438000.0,236114000.0,353327000.0,414764000.0,,,,,,38617000.0,51601000.0,103467000.0,170438000.0,353327000.0,,,,43418000.0,103467000.0,236114000.0,,,,51601000.0,170438000.0,,,38617000.0,149755000.0,,38617000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,36537000.0,138198000.0,187381000.0,,,,,,,,,,138198000.0,,,,,,36537000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,3932000.0,5217000.0,5938000.0,9246000.0,12372000.0,15785000.0,20994000.0,,,,,,,,5217000.0,9246000.0,15785000.0,,,,,5217000.0,12372000.0,,,,,9246000.0,,,,5938000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,4033000.0,4096000.0,5111000.0,4848000.0,14091000.0,23772000.0,29994000.0,52136000.0,54255000.0,71043000.0,65107000.0,,,,,,4096000.0,4848000.0,23772000.0,52136000.0,71043000.0,,,,5111000.0,23772000.0,54255000.0,,,,4848000.0,52136000.0,,,4096000.0,29994000.0,,4096000.0,,,CommonMetricExtracted
Cash,,,,,,,,,10074000.0,26015000.0,40911000.0,42173000.0,107591000.0,,89371000.0,,68375000.0,152740000.0,226110000.0,319098000.0,,,,,26015000.0,42173000.0,,,152740000.0,319098000.0,,,40911000.0,,68375000.0,319098000.0,,,42173000.0,,319098000.0,,26015000.0,89371000.0,319098000.0,26015000.0,319098000.0,319098000.0,319098000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,2823000.0,3384000.0,4110000.0,,8276000.0,,20797000.0,25666000.0,4983122000.0,5963148000.0,,,,,,3384000.0,,,25666000.0,5963148000.0,,,2823000.0,,20797000.0,5963148000.0,,,3384000.0,,5963148000.0,,,8276000.0,5963148000.0,,5963148000.0,5963148000.0,5963148000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,9234000.0,9281000.0,8780000.0,,29280000.0,,58155000.0,63177000.0,69480000.0,81953000.0,,,,,,9281000.0,,,63177000.0,81953000.0,,,9234000.0,,58155000.0,81953000.0,,,9281000.0,,81953000.0,,,29280000.0,81953000.0,,81953000.0,81953000.0,81953000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,3376000.0,6824000.0,6824000.0,,48495000.0,,59894000.0,88543000.0,88391000.0,121572000.0,,,,,,6824000.0,,,88543000.0,121572000.0,,,3376000.0,,59894000.0,121572000.0,,,6824000.0,,121572000.0,,,48495000.0,121572000.0,,121572000.0,121572000.0,121572000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,2555000.0,2279000.0,2003000.0,,6694000.0,,12203000.0,14042000.0,11895000.0,17252000.0,,,,,,2279000.0,,,14042000.0,17252000.0,,,2555000.0,,12203000.0,17252000.0,,,2279000.0,,17252000.0,,,6694000.0,17252000.0,,17252000.0,17252000.0,17252000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,1076089000.0,1105841000.0,1321256000.0,,2273835000.0,,4726378000.0,5990460000.0,6584550000.0,7857090000.0,,,,,,1105841000.0,,,5990460000.0,7857090000.0,,,1076089000.0,,4726378000.0,7857090000.0,,,1105841000.0,,7857090000.0,,,2273835000.0,7857090000.0,,7857090000.0,7857090000.0,7857090000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,5831942000.0,6820108000.0,,,,,,,,,,6820108000.0,,,,,,6820108000.0,,,,,6820108000.0,,,,6820108000.0,,6820108000.0,6820108000.0,6820108000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
