,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,1289525.0,,,,,,,,776256.0,3054025.0,8479031.0,16515543.0,38790603.0,19995447.0,,,,1289525.0,,,,776256.0,8479031.0,38790603.0,,,,,776256.0,16515543.0,,,,,8479031.0,,,,3054025.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,614642.0,1178174.0,50089.0,182712.0,-11169302.0,2104553.0,,,,,,,,614642.0,50089.0,-11169302.0,,,,,614642.0,182712.0,,,,,50089.0,,,,1178174.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,-990980.0,-5462047.0,-14487132.0,-25328567.0,-56204313.0,-24590375.0,,,,,,,,-990980.0,-14487132.0,-56204313.0,,,,,-990980.0,-25328567.0,,,,,-14487132.0,,,,-5462047.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,1858.0,8074658.0,45686014.0,42668838.0,5754720.0,10551916.0,,,,,,,,8074658.0,42668838.0,10551916.0,,,,,45686014.0,10551916.0,,,,8074658.0,10551916.0,,,1858.0,10551916.0,,10551916.0,10551916.0,10551916.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,10579.0,44676.0,315464.0,1428742.0,4453544.0,3373717.0,,,,,,,,44676.0,1428742.0,3373717.0,,,,,315464.0,3373717.0,,,,44676.0,3373717.0,,,10579.0,3373717.0,,3373717.0,3373717.0,3373717.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,21014657.0,2835221.0,,,,,,,1117107.0,8119334.0,46001478.0,44097580.0,10208264.0,13925633.0,,,,2835221.0,,,,8119334.0,44097580.0,13925633.0,,2835221.0,,,46001478.0,13925633.0,,2835221.0,,8119334.0,13925633.0,,,1117107.0,13925633.0,,13925633.0,13925633.0,13925633.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
