,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,151000.0,1075000.0,,,,,,,,,,151000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,35979000.0,65337000.0,,,,,,,,,,35979000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,2796000.0,8527000.0,,,,,,,,,,2796000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,0.0,56000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,567000.0,-71798000.0,,,,,,,,,,567000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,88483000.0,238196000.0,,,,,,,,,,238196000.0,,,,,,238196000.0,,,,,238196000.0,,,,238196000.0,,238196000.0,238196000.0,238196000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,22776000.0,171000.0,,,,,,,,,,171000.0,,,,,,171000.0,,,,,171000.0,,,,171000.0,,171000.0,171000.0,171000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,1419000.0,5730000.0,,,,,,,,,,5730000.0,,,,,,5730000.0,,,,,5730000.0,,,,5730000.0,,5730000.0,5730000.0,5730000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,112678000.0,356824000.0,,,,,,,,,,356824000.0,,,,,,356824000.0,,,,,356824000.0,,,,356824000.0,,356824000.0,356824000.0,356824000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,4665000.0,5090000.0,,,,,,,,,,5090000.0,,,,,,5090000.0,,,,,5090000.0,,,,5090000.0,,5090000.0,5090000.0,5090000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,130867000.0,456554000.0,,,,,,,,,,456554000.0,,,,,,456554000.0,,,,,456554000.0,,,,456554000.0,,456554000.0,456554000.0,456554000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
