,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,0.0,0.0,114000.0,-53191000.0,,6236000.0,,,,,,,,0.0,114000.0,,,,,,0.0,-53191000.0,,,,,114000.0,,,,0.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,-24396000.0,-21495000.0,3967000.0,13613000.0,,12346000.0,,,,,,,,-24396000.0,3967000.0,,,,,,-24396000.0,13613000.0,,,,,3967000.0,,,,-21495000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,5039000.0,3863000.0,2747000.0,,2284000.0,,,,,,,,5039000.0,2747000.0,2284000.0,,,,,3863000.0,2284000.0,,,,5039000.0,2284000.0,,,,2284000.0,,2284000.0,2284000.0,2284000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,328551000.0,328551000.0,328551000.0,,328551000.0,,,,,,,,328551000.0,328551000.0,328551000.0,,,,,328551000.0,328551000.0,,,,328551000.0,328551000.0,,,,328551000.0,,328551000.0,328551000.0,328551000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,213267000.0,201995000.0,183030000.0,,451495000.0,,,,,,,,213267000.0,183030000.0,451495000.0,,,,,201995000.0,451495000.0,,,,213267000.0,451495000.0,,,,451495000.0,,451495000.0,451495000.0,451495000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,,734117000.0,,,,,,,,,,734117000.0,,,,,,734117000.0,,,,,734117000.0,,,,734117000.0,,734117000.0,734117000.0,734117000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
