,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,90611000.0,123954000.0,,150185000.0,163460000.0,284391000.0,322415000.0,313901000.0,,,,,,,90611000.0,,163460000.0,322415000.0,,,,,,284391000.0,,,,90611000.0,163460000.0,,,,150185000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,19737000.0,20396000.0,19492000.0,,21906000.0,26164000.0,24400000.0,26331000.0,32444000.0,,38231000.0,45098000.0,61008000.0,69764000.0,74319000.0,,,,20396000.0,,26164000.0,26331000.0,,45098000.0,69764000.0,,19737000.0,,24400000.0,,61008000.0,,,,26331000.0,45098000.0,,19737000.0,26164000.0,38231000.0,,26164000.0,19737000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,67911000.0,84915000.0,,100102000.0,111593000.0,179581000.0,224554000.0,252193000.0,,,,,,,67911000.0,,111593000.0,224554000.0,,,,,,179581000.0,,,,67911000.0,111593000.0,,,,100102000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,5893000.0,5868000.0,6444000.0,,6708000.0,12363000.0,14761000.0,20044000.0,22028000.0,,25298000.0,31918000.0,35983000.0,44401000.0,53973000.0,,,,5868000.0,,12363000.0,20044000.0,,31918000.0,44401000.0,,5893000.0,,14761000.0,,35983000.0,,,,20044000.0,31918000.0,,5893000.0,12363000.0,25298000.0,,12363000.0,5893000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,-112000.0,165000.0,,988000.0,238000.0,2448000.0,6986000.0,5911000.0,,,,,,,-112000.0,,238000.0,6986000.0,,,,,,2448000.0,,,,-112000.0,238000.0,,,,988000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,1154000.0,1356000.0,1244000.0,,716000.0,-253000.0,928000.0,-157000.0,1671000.0,,-1022000.0,2354000.0,6797000.0,12349000.0,11156000.0,,,,1356000.0,,-253000.0,-157000.0,,2354000.0,12349000.0,,1154000.0,,928000.0,,6797000.0,,,,-157000.0,2354000.0,,1154000.0,-253000.0,-1022000.0,,-253000.0,1154000.0,,CommonMetricExtracted
NetIncome,,,,,,-6200000.0,1348000.0,-1763000.0,,398000.0,-8392000.0,-6533000.0,-2139000.0,4968000.0,,14048000.0,5913000.0,39665000.0,21347000.0,-20208000.0,,,,1348000.0,,-8392000.0,-2139000.0,,5913000.0,21347000.0,,-6200000.0,,-6533000.0,,39665000.0,,,,-2139000.0,5913000.0,,-6200000.0,-8392000.0,14048000.0,,-8392000.0,-6200000.0,,CommonMetricExtracted
Cash,,,,,4992000.0,6330000.0,16582000.0,21675000.0,,22954000.0,13013000.0,13402000.0,18520000.0,103877000.0,,119968000.0,152453000.0,86480000.0,183038000.0,144159000.0,,,6330000.0,21675000.0,22954000.0,13402000.0,103877000.0,119968000.0,86480000.0,144159000.0,4992000.0,21675000.0,13013000.0,103877000.0,152453000.0,144159000.0,,21675000.0,13402000.0,119968000.0,144159000.0,4992000.0,22954000.0,,144159000.0,22954000.0,144159000.0,144159000.0,144159000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,9089000.0,8543000.0,,10731000.0,11054000.0,15675000.0,17853000.0,25946000.0,,30996000.0,35229000.0,62447000.0,94704000.0,77897000.0,,,,8543000.0,10731000.0,15675000.0,25946000.0,30996000.0,62447000.0,77897000.0,,8543000.0,11054000.0,25946000.0,35229000.0,77897000.0,,8543000.0,15675000.0,30996000.0,77897000.0,,10731000.0,,77897000.0,10731000.0,77897000.0,77897000.0,77897000.0,CommonMetricExtracted
