,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,0.0,5087000.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,5087000.0,,,,,0.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,81588000.0,104966000.0,145366000.0,143818000.0,,,,,,,,,81588000.0,145366000.0,,,,,,104966000.0,,,,,81588000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,32168000.0,22507000.0,28760000.0,39408000.0,45188000.0,,,,,,,,,22507000.0,39408000.0,,,,,,28760000.0,,,,,22507000.0,,,,32168000.0,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,1200000.0,600000.0,800000.0,4295000.0,2602000.0,,,,,,,,,600000.0,4295000.0,,,,,,800000.0,,,,,600000.0,,,,1200000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,166617000.0,-24740000.0,-33807000.0,48851000.0,,,,,,,,,166617000.0,-33807000.0,,,,,,-24740000.0,,,,,166617000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,6652000.0,6013000.0,,,,,,,,,,,6013000.0,,,,,,6652000.0,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,9.1,9.11,8.68,7.84,9.85,8.98,7.6,7.69,,,,,,,9.11,7.84,8.98,7.69,,,,9.11,9.85,7.69,,,,7.84,7.69,,,8.68,7.69,,7.69,7.69,7.69,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,12625000.0,14633000.0,,,,,,,,,,,14633000.0,,,,,,12625000.0,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,1058000.0,6639000.0,,,,,,,,,,,6639000.0,,,,,,1058000.0,,,,,,,,,,,,,,,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,-129598000.0,7908000.0,-17293000.0,222941000.0,-172396000.0,,,,,,,,,7908000.0,222941000.0,,,,,,-17293000.0,,,,,7908000.0,,,,-129598000.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,44250000.0,32182000.0,34852000.0,45658000.0,65904000.0,,,,,,,,,32182000.0,45658000.0,,,,,,34852000.0,,,,,32182000.0,,,,44250000.0,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,95779000.0,-13424000.0,52043000.0,-239158000.0,183434000.0,,,,,,,,,-13424000.0,-239158000.0,,,,,,52043000.0,,,,,-13424000.0,,,,95779000.0,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
