,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,54413000.0,12903000.0,,,,,,,,,,54413000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,-20866000.0,-10079000.0,788000.0,123000.0,-251000.0,,,,,,,,,-10079000.0,123000.0,,,,,,788000.0,,,,,-10079000.0,,,,-20866000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,-345560000.0,-10170000.0,,,,,,,,,,-345560000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,-1650.0,3016201.0,-100557000.0,-410368000.0,-282404000.0,-343066000.0,-8136000.0,,,,,,,,3016201.0,-410368000.0,-343066000.0,,,,,3016201.0,-282404000.0,,,,,-410368000.0,,,,-100557000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,23370000.0,,,,,,,,,,23370000.0,,,,,,23370000.0,,,,,23370000.0,,,,23370000.0,,23370000.0,23370000.0,23370000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,2825000.0,208000.0,,,,,,,,,,208000.0,,,,,,208000.0,,,,,208000.0,,,,208000.0,,208000.0,208000.0,208000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,2159000.0,654445000.0,291137000.0,255875000.0,92139000.0,53183000.0,,,,,,,,654445000.0,255875000.0,53183000.0,,,,,291137000.0,53183000.0,,,,654445000.0,53183000.0,,,2159000.0,53183000.0,,53183000.0,53183000.0,53183000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,2159000.0,654445000.0,291137000.0,255875000.0,92139000.0,53183000.0,,,,,,,,654445000.0,255875000.0,53183000.0,,,,,291137000.0,53183000.0,,,,654445000.0,53183000.0,,,2159000.0,53183000.0,,53183000.0,53183000.0,53183000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
