,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1740000.0,1987000.0,2174000.0,2374000.0,2568000.0,3279000.0,3401000.0,3419000.0,3130000.0,,,,,,,1987000.0,2374000.0,3279000.0,3419000.0,,,,1740000.0,2374000.0,3401000.0,,,,1987000.0,3279000.0,,,,2568000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,22836000.0,20680000.0,18668000.0,18425000.0,19460000.0,21147000.0,22615000.0,25100000.0,28953000.0,34322000.0,39302000.0,39624000.0,48070000.0,59758000.0,74592000.0,84325000.0,,,22836000.0,18668000.0,19460000.0,22615000.0,28953000.0,39302000.0,48070000.0,74592000.0,,20680000.0,19460000.0,25100000.0,39302000.0,59758000.0,,22836000.0,19460000.0,28953000.0,48070000.0,,20680000.0,22615000.0,39624000.0,,22615000.0,20680000.0,,CommonMetricExtracted
Interest,,,,,26266000.0,19141000.0,19246000.0,18377000.0,17570000.0,17845000.0,18491000.0,18696000.0,20111000.0,21841000.0,22810000.0,23732000.0,26038000.0,32590000.0,37530000.0,42274000.0,,,26266000.0,19246000.0,17570000.0,18491000.0,20111000.0,22810000.0,26038000.0,37530000.0,,19141000.0,17570000.0,18696000.0,22810000.0,32590000.0,,26266000.0,17570000.0,20111000.0,26038000.0,,19141000.0,18491000.0,23732000.0,,18491000.0,19141000.0,,CommonMetricExtracted
Taxes,,,,,1708000.0,1649000.0,1138000.0,892000.0,1155000.0,1368000.0,1351000.0,1382000.0,1791000.0,3099000.0,3487000.0,2451000.0,2746000.0,6409000.0,11525000.0,15308000.0,,,1708000.0,1138000.0,1155000.0,1351000.0,1791000.0,3487000.0,2746000.0,11525000.0,,1649000.0,1155000.0,1382000.0,3487000.0,6409000.0,,1708000.0,1155000.0,1791000.0,2746000.0,,1649000.0,1351000.0,2451000.0,,1351000.0,1649000.0,,CommonMetricExtracted
NetIncome,,,,,-9146000.0,971000.0,941000.0,1950000.0,3431000.0,4738000.0,5818000.0,7474000.0,8189000.0,13992000.0,15512000.0,14475000.0,21009000.0,26444000.0,29776000.0,28619000.0,,,-9146000.0,941000.0,3431000.0,5818000.0,8189000.0,15512000.0,21009000.0,29776000.0,,971000.0,3431000.0,7474000.0,15512000.0,26444000.0,,-9146000.0,3431000.0,8189000.0,21009000.0,,971000.0,5818000.0,14475000.0,,5818000.0,971000.0,,CommonMetricExtracted
Cash,,,,18791000.0,59493000.0,64628000.0,63076000.0,44675000.0,49917000.0,45574000.0,68195000.0,62646000.0,87537000.0,46686000.0,46942000.0,184909000.0,,183426000.0,,82018000.0,,18791000.0,64628000.0,44675000.0,45574000.0,62646000.0,46686000.0,184909000.0,183426000.0,82018000.0,59493000.0,44675000.0,68195000.0,46686000.0,,82018000.0,18791000.0,44675000.0,62646000.0,184909000.0,82018000.0,59493000.0,45574000.0,46942000.0,82018000.0,45574000.0,82018000.0,82018000.0,82018000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,10609000.0,9104000.0,11377000.0,12123000.0,12620000.0,15394000.0,14373000.0,18314000.0,,950992000.0,,1044632000.0,,,,,9104000.0,12123000.0,15394000.0,18314000.0,950992000.0,1044632000.0,,,11377000.0,15394000.0,,1044632000.0,,,12123000.0,18314000.0,1044632000.0,,9104000.0,14373000.0,1044632000.0,9104000.0,1044632000.0,1044632000.0,1044632000.0,CommonMetricExtracted
