,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,384758000.0,521290000.0,614337000.0,626099000.0,590623000.0,706793000.0,860903000.0,881662000.0,949245000.0,,,,,,,521290000.0,626099000.0,706793000.0,881662000.0,,,,384758000.0,626099000.0,860903000.0,,,,521290000.0,706793000.0,,,,590623000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,222306000.0,300759000.0,352809000.0,364014000.0,346106000.0,406465000.0,482431000.0,481765000.0,527700000.0,,,,,,,300759000.0,364014000.0,406465000.0,481765000.0,,,,222306000.0,364014000.0,482431000.0,,,,300759000.0,406465000.0,,,,346106000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,64535000.0,67877000.0,65584000.0,81449000.0,84380000.0,,81299000.0,101654000.0,115900000.0,118407000.0,109853000.0,129155000.0,158901000.0,164460000.0,175943000.0,,,,67877000.0,81449000.0,,101654000.0,118407000.0,129155000.0,164460000.0,,64535000.0,81449000.0,81299000.0,118407000.0,158901000.0,,,81449000.0,101654000.0,129155000.0,,64535000.0,,109853000.0,,,64535000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,22297000.0,23454000.0,22393000.0,26352000.0,28954000.0,,32002000.0,41673000.0,51024000.0,55965000.0,60996000.0,72522000.0,85770000.0,91682000.0,95515000.0,,,,23454000.0,26352000.0,,41673000.0,55965000.0,72522000.0,91682000.0,,22297000.0,26352000.0,32002000.0,55965000.0,85770000.0,,,26352000.0,41673000.0,72522000.0,,22297000.0,,60996000.0,,,22297000.0,,CommonMetricExtracted
OperatingMargin,,,,,,36027000.0,35848000.0,20262000.0,19446000.0,-16806000.0,,32955000.0,57566000.0,71013000.0,55282000.0,55888000.0,64054000.0,103079000.0,110496000.0,110584000.0,,,,35848000.0,19446000.0,,57566000.0,55282000.0,64054000.0,110496000.0,,36027000.0,19446000.0,32955000.0,55282000.0,103079000.0,,,19446000.0,57566000.0,64054000.0,,36027000.0,,55888000.0,,,36027000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,11952000.0,2544000.0,-10940000.0,6200000.0,-1006000.0,,10519000.0,13827000.0,10207000.0,4993000.0,3882000.0,5841000.0,13108000.0,10870000.0,14979000.0,,,,2544000.0,6200000.0,,13827000.0,4993000.0,5841000.0,10870000.0,,11952000.0,6200000.0,10519000.0,4993000.0,13108000.0,,,6200000.0,13827000.0,5841000.0,,11952000.0,,3882000.0,,,11952000.0,,CommonMetricExtracted
NetIncome,,,,,-71269000.0,-639000.0,29001000.0,19578000.0,7331000.0,-24242000.0,35615000.0,22003000.0,62307000.0,51095000.0,40773000.0,44521000.0,50331000.0,74051000.0,72878000.0,64087000.0,,,-71269000.0,29001000.0,7331000.0,35615000.0,62307000.0,40773000.0,50331000.0,72878000.0,,-639000.0,7331000.0,22003000.0,40773000.0,74051000.0,,-71269000.0,7331000.0,62307000.0,50331000.0,,-639000.0,35615000.0,44521000.0,,35615000.0,-639000.0,,CommonMetricExtracted
Cash,,,,,63328000.0,56781000.0,54835000.0,65788000.0,60980000.0,51146000.0,59959000.0,68108000.0,100057000.0,82043000.0,78944000.0,125054000.0,117393000.0,100105000.0,105051000.0,113989000.0,,,56781000.0,65788000.0,51146000.0,68108000.0,82043000.0,125054000.0,100105000.0,113989000.0,63328000.0,65788000.0,59959000.0,82043000.0,117393000.0,113989000.0,,65788000.0,68108000.0,125054000.0,113989000.0,63328000.0,51146000.0,78944000.0,113989000.0,51146000.0,113989000.0,113989000.0,113989000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,38847000.0,42652000.0,,,59698000.0,65827000.0,,85807000.0,96983000.0,78257000.0,117614000.0,139205000.0,147515000.0,159102000.0,,,,42652000.0,,65827000.0,85807000.0,78257000.0,139205000.0,159102000.0,,42652000.0,59698000.0,85807000.0,117614000.0,159102000.0,,42652000.0,65827000.0,78257000.0,159102000.0,,,96983000.0,159102000.0,,159102000.0,159102000.0,159102000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,5385000.0,5486000.0,,,5989000.0,5570000.0,,9155000.0,11967000.0,8125000.0,13161000.0,13212000.0,13360000.0,15951000.0,,,,5486000.0,,5570000.0,9155000.0,8125000.0,13212000.0,15951000.0,,5486000.0,5989000.0,9155000.0,13161000.0,15951000.0,,5486000.0,5570000.0,8125000.0,15951000.0,,,11967000.0,15951000.0,,15951000.0,15951000.0,15951000.0,CommonMetricExtracted
Inventory,,,,,,,51539000.0,52801000.0,,,59566000.0,59745000.0,,104764000.0,116618000.0,92737000.0,125657000.0,167997000.0,149371000.0,144606000.0,,,,52801000.0,,59745000.0,104764000.0,92737000.0,167997000.0,144606000.0,,52801000.0,59566000.0,104764000.0,125657000.0,144606000.0,,52801000.0,59745000.0,92737000.0,144606000.0,,,116618000.0,144606000.0,,144606000.0,144606000.0,144606000.0,CommonMetricExtracted
CurrentAssets,,,,,,,214311000.0,208468000.0,,,185212000.0,199250000.0,,281769000.0,304512000.0,304173000.0,373825000.0,420519000.0,415297000.0,433648000.0,,,,208468000.0,,199250000.0,281769000.0,304173000.0,420519000.0,433648000.0,,208468000.0,185212000.0,281769000.0,373825000.0,433648000.0,,208468000.0,199250000.0,304173000.0,433648000.0,,,304512000.0,433648000.0,,433648000.0,433648000.0,433648000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,35955000.0,32338000.0,,,40550000.0,35421000.0,,65464000.0,77556000.0,78676000.0,87439000.0,103186000.0,109449000.0,113135000.0,,,,32338000.0,,35421000.0,65464000.0,78676000.0,103186000.0,113135000.0,,32338000.0,40550000.0,65464000.0,87439000.0,113135000.0,,32338000.0,35421000.0,78676000.0,113135000.0,,,77556000.0,113135000.0,,113135000.0,113135000.0,113135000.0,CommonMetricExtracted
Goodwill,,,,,,,44578000.0,44578000.0,,,103456000.0,108128000.0,,217662000.0,274710000.0,285980000.0,479500000.0,478897000.0,484507000.0,584098000.0,,,,44578000.0,,108128000.0,217662000.0,285980000.0,478897000.0,584098000.0,,44578000.0,103456000.0,217662000.0,479500000.0,584098000.0,,44578000.0,108128000.0,285980000.0,584098000.0,,,274710000.0,584098000.0,,584098000.0,584098000.0,584098000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,45797000.0,40020000.0,,,66269000.0,61743000.0,,142920000.0,166175000.0,148521000.0,220989000.0,175766000.0,145022000.0,185844000.0,,,,40020000.0,,61743000.0,142920000.0,148521000.0,175766000.0,185844000.0,,40020000.0,66269000.0,142920000.0,220989000.0,185844000.0,,40020000.0,61743000.0,148521000.0,185844000.0,,,166175000.0,185844000.0,,185844000.0,185844000.0,185844000.0,CommonMetricExtracted
TotalAssets,,,,,,,348503000.0,337460000.0,,,416045000.0,425637000.0,,719576000.0,869736000.0,865179000.0,1227883000.0,1241212000.0,1226056000.0,1388511000.0,,,,337460000.0,,425637000.0,719576000.0,865179000.0,1241212000.0,1388511000.0,,337460000.0,416045000.0,719576000.0,1227883000.0,1388511000.0,,337460000.0,425637000.0,865179000.0,1388511000.0,,,869736000.0,1388511000.0,,1388511000.0,1388511000.0,1388511000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,10000000.0,7500000.0,,,7385000.0,7366000.0,,4535000.0,5031000.0,5508000.0,5097000.0,4800000.0,4968000.0,4691000.0,,,,7500000.0,,7366000.0,4535000.0,5508000.0,4800000.0,4691000.0,,7500000.0,7385000.0,4535000.0,5097000.0,4691000.0,,7500000.0,7366000.0,5508000.0,4691000.0,,,5031000.0,4691000.0,,4691000.0,4691000.0,4691000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,33294000.0,41103000.0,,,49568000.0,63130000.0,,99661000.0,124772000.0,102533000.0,171507000.0,151929000.0,126018000.0,153221000.0,,,,41103000.0,,63130000.0,99661000.0,102533000.0,151929000.0,153221000.0,,41103000.0,49568000.0,99661000.0,171507000.0,153221000.0,,41103000.0,63130000.0,102533000.0,153221000.0,,,124772000.0,153221000.0,,153221000.0,153221000.0,153221000.0,CommonMetricExtracted
CurrentLiability,,,,,,,77988000.0,73888000.0,,,78135000.0,97444000.0,,150491000.0,210215000.0,174197000.0,289751000.0,235359000.0,208420000.0,238001000.0,,,,73888000.0,,97444000.0,150491000.0,174197000.0,235359000.0,238001000.0,,73888000.0,78135000.0,150491000.0,289751000.0,238001000.0,,73888000.0,97444000.0,174197000.0,238001000.0,,,210215000.0,238001000.0,,238001000.0,238001000.0,238001000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,5303000.0,9809000.0,,,19445000.0,18713000.0,,17187000.0,70995000.0,49968000.0,55338000.0,46893000.0,43277000.0,45039000.0,,,,9809000.0,,18713000.0,17187000.0,49968000.0,46893000.0,45039000.0,,9809000.0,19445000.0,17187000.0,55338000.0,45039000.0,,9809000.0,18713000.0,49968000.0,45039000.0,,,70995000.0,45039000.0,,45039000.0,45039000.0,45039000.0,CommonMetricExtracted
TotalLiability,,,,,,,139143000.0,109254000.0,,,171344000.0,166767000.0,,351321000.0,452564000.0,388370000.0,706592000.0,663626000.0,552596000.0,642813000.0,,,,109254000.0,,166767000.0,351321000.0,388370000.0,663626000.0,642813000.0,,109254000.0,171344000.0,351321000.0,706592000.0,642813000.0,,109254000.0,166767000.0,388370000.0,642813000.0,,,452564000.0,642813000.0,,642813000.0,642813000.0,642813000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,209003000.0,227809000.0,,,244701000.0,258870000.0,,368255000.0,417172000.0,476809000.0,521291000.0,577586000.0,673460000.0,745698000.0,,,,227809000.0,,258870000.0,368255000.0,476809000.0,577586000.0,745698000.0,,227809000.0,244701000.0,368255000.0,521291000.0,745698000.0,,227809000.0,258870000.0,476809000.0,745698000.0,,,417172000.0,745698000.0,,745698000.0,745698000.0,745698000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,0.5777813586722044,0.5769514090045847,0.57429228583009,0.5814000661237281,0.5860015610634872,0.5750835110138329,0.5603778822933594,0.546428223060538,0.5559154907321081,,,,,,,0.5769514090045847,0.5814000661237281,0.5750835110138329,0.546428223060538,,,,0.5777813586722044,0.5814000661237281,0.5603778822933594,,,,0.5769514090045847,0.5750835110138329,,,,0.5860015610634872,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,162452000.0,220531000.0,261528000.0,262085000.0,244517000.0,300328000.0,378472000.0,399897000.0,421545000.0,,,,,,,220531000.0,262085000.0,300328000.0,399897000.0,,,,162452000.0,262085000.0,378472000.0,,,,220531000.0,300328000.0,,,,244517000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,0.42221864132779563,0.4230485909954152,0.42570771416991,0.418599933876272,0.4139984389365128,0.4249164889861671,0.43962211770664056,0.45357177693946205,0.44408450926789184,,,,,,,0.4230485909954152,0.418599933876272,0.4249164889861671,0.45357177693946205,,,,0.42221864132779563,0.418599933876272,0.43962211770664056,,,,0.4230485909954152,0.4249164889861671,,,,0.4139984389365128,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,0.21129905031214424,0.19500469987914595,0.18865866779959534,0.18911865375922976,0.18599512717926664,0.18273384145004265,0.1845748011099973,0.18653406861132724,0.18535046273617453,,,,,,,0.19500469987914595,0.18911865375922976,0.18273384145004265,0.18653406861132724,,,,0.21129905031214424,0.18911865375922976,0.1845748011099973,,,,0.19500469987914595,0.18273384145004265,,,,0.18599512717926664,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,0.0831743589477022,0.07994206679583342,0.08305539142197198,0.08938682221182273,0.10327400050455197,0.10260712825395837,0.09962794879330192,0.10398769596512042,0.10062207333196382,,,,,,,0.07994206679583342,0.08938682221182273,0.10260712825395837,0.10398769596512042,,,,0.0831743589477022,0.08938682221182273,0.09962794879330192,,,,0.07994206679583342,0.10260712825395837,,,,0.10327400050455197,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,0.08565124052001517,0.11042989506800438,0.11559290747586422,0.08829594041836834,0.09462550561017773,0.0906262512503661,0.11973358206441376,0.12532693934863928,0.11649679482114733,,,,,,,0.11042989506800438,0.08829594041836834,0.0906262512503661,0.12532693934863928,,,,0.08565124052001517,0.08829594041836834,0.11973358206441376,,,,0.11042989506800438,0.0906262512503661,,,,0.09462550561017773,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
