,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,83227000.0,110156000.0,115308000.0,135366000.0,90692000.0,125196000.0,138724000.0,97728000.0,65726000.0,,,,,,,110156000.0,135366000.0,125196000.0,97728000.0,,,,83227000.0,135366000.0,138724000.0,,,,110156000.0,125196000.0,,,,90692000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,68041000.0,81618000.0,106251000.0,78205000.0,88449000.0,108976000.0,103043000.0,86217000.0,,,,,,,68041000.0,106251000.0,88449000.0,103043000.0,,,,,106251000.0,108976000.0,,,,68041000.0,88449000.0,,,,78205000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,55000.0,-235000.0,2875000.0,139000.0,-1355000.0,-322000.0,-2466000.0,560000.0,-1166000.0,-2934000.0,-464000.0,1188000.0,-1020000.0,-4288000.0,-3364000.0,-19452000.0,,,55000.0,2875000.0,-1355000.0,-2466000.0,-1166000.0,-464000.0,-1020000.0,-3364000.0,,-235000.0,-1355000.0,560000.0,-464000.0,-4288000.0,,55000.0,-1355000.0,-1166000.0,-1020000.0,,-235000.0,-2466000.0,1188000.0,,-2466000.0,-235000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,-12037000.0,1260000.0,8890000.0,16230000.0,7391000.0,4759000.0,24328000.0,7263000.0,9967000.0,5573000.0,9615000.0,8559000.0,-5735000.0,9261000.0,,,,-12037000.0,8890000.0,7391000.0,24328000.0,9967000.0,9615000.0,-5735000.0,,,8890000.0,4759000.0,9967000.0,8559000.0,,,8890000.0,24328000.0,9615000.0,,,7391000.0,5573000.0,,7391000.0,,,CommonMetricExtracted
NetIncome,-1218000.0,-2687000.0,-8076000.0,-40688000.0,-34129000.0,-23074000.0,-39522000.0,-5851000.0,5334000.0,16245000.0,3062000.0,4387000.0,4150000.0,9288000.0,5832000.0,4359000.0,8028000.0,-6321000.0,-16017000.0,-56501000.0,-1218000.0,-8076000.0,-34129000.0,-39522000.0,5334000.0,3062000.0,4150000.0,5832000.0,8028000.0,-16017000.0,-8076000.0,-23074000.0,5334000.0,4387000.0,5832000.0,-6321000.0,-1218000.0,-34129000.0,5334000.0,4150000.0,8028000.0,-1218000.0,-23074000.0,3062000.0,4359000.0,-1218000.0,3062000.0,-23074000.0,-1218000.0,CommonMetricExtracted
Cash,,,,3534000.0,6752000.0,47582000.0,51960000.0,35780000.0,14973000.0,27541000.0,12822000.0,14166000.0,22390000.0,7762000.0,11076000.0,25405000.0,33712000.0,23675000.0,6254000.0,5662000.0,,3534000.0,47582000.0,35780000.0,27541000.0,14166000.0,7762000.0,25405000.0,23675000.0,5662000.0,6752000.0,35780000.0,12822000.0,7762000.0,33712000.0,5662000.0,3534000.0,35780000.0,14166000.0,25405000.0,5662000.0,6752000.0,27541000.0,11076000.0,5662000.0,27541000.0,5662000.0,5662000.0,5662000.0,CommonMetricExtracted
CurrentReceivables,,,,,,1185000.0,14281000.0,6349000.0,2307000.0,1416000.0,321000.0,630000.0,2884000.0,1744000.0,8362000.0,4226000.0,8672000.0,5085000.0,4335000.0,4161000.0,,,1185000.0,6349000.0,1416000.0,630000.0,1744000.0,4226000.0,5085000.0,4161000.0,,6349000.0,321000.0,1744000.0,8672000.0,4161000.0,,6349000.0,630000.0,4226000.0,4161000.0,,1416000.0,8362000.0,4161000.0,1416000.0,4161000.0,4161000.0,4161000.0,CommonMetricExtracted
