,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,-477721.0,-1524222.0,-2788937.0,-12658704.0,-10969660.0,-7006613.0,-4307602.0,,,,,,,,-1524222.0,-12658704.0,-7006613.0,,,,,-1524222.0,-10969660.0,,,,,-12658704.0,,,,-2788937.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,2550557.0,3024636.0,,,,,,,,,,2550557.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,-536087.0,-1595924.0,-11959284.0,3452032.0,-19720212.0,6658010.0,-6587624.0,,,,,,,,-1595924.0,3452032.0,6658010.0,,,,,-1595924.0,-19720212.0,,,,,3452032.0,,,,-11959284.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,620949.0,44595.0,,19581707.0,,300734.0,315001.0,,,,,,,620949.0,,,315001.0,,,,620949.0,19581707.0,315001.0,,,,,315001.0,,,44595.0,315001.0,,315001.0,315001.0,315001.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,0.0,26042.0,,193055.0,156959.0,55999.0,38946.0,,,,,,,0.0,,156959.0,38946.0,,,,0.0,193055.0,38946.0,,,,,38946.0,,,26042.0,38946.0,,38946.0,38946.0,38946.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,968000.0,1009496.0,110700.0,1117000.0,,,,,,,,,1009496.0,1117000.0,,,,,968000.0,1117000.0,,,,,1117000.0,,,,1117000.0,,1117000.0,1117000.0,1117000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,293515.0,1088449.0,1044392.0,1000335.0,,,,,,,,,1088449.0,1000335.0,,,,,293515.0,1000335.0,,,,,1000335.0,,,,1000335.0,,1000335.0,1000335.0,1000335.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,2813499.0,3566765.0,3052085.0,272438.0,,,,816816.0,397845.0,,32152816.0,60668959.0,61516252.0,60938768.0,,,,3566765.0,272438.0,,816816.0,,60668959.0,60938768.0,,3566765.0,,816816.0,32152816.0,60938768.0,,3566765.0,,,60938768.0,,272438.0,397845.0,60938768.0,272438.0,60938768.0,60938768.0,60938768.0,CommonMetricExtracted
