,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2700219000.0,2826457000.0,3093788000.0,2988310000.0,2940163000.0,3980067000.0,5324052000.0,4427443000.0,4179019000.0,,,,,,,2826457000.0,2988310000.0,3980067000.0,4427443000.0,,,,2700219000.0,2988310000.0,5324052000.0,,,,2826457000.0,3980067000.0,,,,2940163000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,48524000.0,-168706000.0,-54545000.0,9759000.0,-14568000.0,19070000.0,69239000.0,75496000.0,34065000.0,61348000.0,109098000.0,63770000.0,98278000.0,280986000.0,399269000.0,172619000.0,244434000.0,,,-168706000.0,9759000.0,19070000.0,75496000.0,61348000.0,63770000.0,280986000.0,172619000.0,,-54545000.0,19070000.0,34065000.0,63770000.0,399269000.0,,-168706000.0,19070000.0,61348000.0,280986000.0,,-54545000.0,75496000.0,98278000.0,,75496000.0,-54545000.0,,CommonMetricExtracted
Interest,,,,,,,,5273000.0,4183000.0,3190000.0,4400000.0,5150000.0,6342000.0,9468000.0,11467000.0,11697000.0,8914000.0,7726000.0,9094000.0,8980000.0,,,,,4183000.0,4400000.0,6342000.0,11467000.0,8914000.0,9094000.0,,,4183000.0,5150000.0,11467000.0,7726000.0,,,4183000.0,6342000.0,8914000.0,,,4400000.0,11697000.0,,4400000.0,,,CommonMetricExtracted
Taxes,,,,20742000.0,-37996000.0,-21376000.0,3160000.0,-9260000.0,3650000.0,24435000.0,27880000.0,9635000.0,-8150000.0,17124000.0,11486000.0,21396000.0,63633000.0,94946000.0,44751000.0,45353000.0,,,-37996000.0,3160000.0,3650000.0,27880000.0,-8150000.0,11486000.0,63633000.0,44751000.0,,-21376000.0,3650000.0,9635000.0,11486000.0,94946000.0,,-37996000.0,3650000.0,-8150000.0,63633000.0,,-21376000.0,27880000.0,21396000.0,,27880000.0,-21376000.0,,CommonMetricExtracted
NetIncome,,,,29168000.0,-127889000.0,-32693000.0,6159000.0,-7732000.0,15811000.0,46177000.0,44854000.0,18652000.0,59726000.0,67262000.0,39985000.0,71100000.0,213521000.0,298209000.0,195433000.0,173961000.0,,,-127889000.0,6159000.0,15811000.0,44854000.0,59726000.0,39985000.0,213521000.0,195433000.0,,-32693000.0,15811000.0,18652000.0,39985000.0,298209000.0,,-127889000.0,15811000.0,59726000.0,213521000.0,,-32693000.0,44854000.0,71100000.0,,44854000.0,-32693000.0,,CommonMetricExtracted
Cash,,,93805000.0,100880000.0,39332000.0,102578000.0,141295000.0,90702000.0,105354000.0,157042000.0,164973000.0,114280000.0,120772000.0,190186000.0,201909000.0,303954000.0,76620000.0,158372000.0,262226000.0,127444000.0,,100880000.0,102578000.0,90702000.0,157042000.0,114280000.0,190186000.0,303954000.0,158372000.0,127444000.0,39332000.0,90702000.0,164973000.0,190186000.0,76620000.0,127444000.0,100880000.0,90702000.0,114280000.0,303954000.0,127444000.0,39332000.0,157042000.0,201909000.0,127444000.0,157042000.0,127444000.0,127444000.0,127444000.0,CommonMetricExtracted
CurrentReceivables,,,,,140185000.0,149384000.0,164108000.0,192851000.0,211873000.0,244558000.0,260949000.0,292593000.0,310861000.0,317923000.0,310792000.0,346610000.0,605092000.0,611621000.0,506565000.0,459534000.0,,,149384000.0,192851000.0,244558000.0,292593000.0,317923000.0,346610000.0,611621000.0,459534000.0,140185000.0,192851000.0,260949000.0,317923000.0,605092000.0,459534000.0,,192851000.0,292593000.0,346610000.0,459534000.0,140185000.0,244558000.0,310792000.0,459534000.0,244558000.0,459534000.0,459534000.0,459534000.0,CommonMetricExtracted
