,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,1736000.0,1364000.0,726000.0,1349000.0,-315000.0,-448000.0,19000.0,261000.0,584000.0,697000.0,-53000.0,-139000.0,-65000.0,2176000.0,2849000.0,,,,1364000.0,1349000.0,-448000.0,261000.0,697000.0,-139000.0,2176000.0,,1736000.0,1349000.0,19000.0,697000.0,-65000.0,,,1349000.0,261000.0,-139000.0,,1736000.0,-448000.0,-53000.0,,-448000.0,1736000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,29000.0,32000.0,,,,,,,,,,29000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,-6987000.0,-2791000.0,-16657000.0,-61765000.0,-99441000.0,-14029000.0,9678000.0,3426000.0,853000.0,-1764000.0,-1433000.0,-3228000.0,-5402000.0,-9426000.0,-8996000.0,-18451000.0,,,-6987000.0,-16657000.0,-99441000.0,9678000.0,853000.0,-1433000.0,-5402000.0,-8996000.0,,-2791000.0,-99441000.0,3426000.0,-1433000.0,-9426000.0,,-6987000.0,-99441000.0,853000.0,-5402000.0,,-2791000.0,9678000.0,-3228000.0,,9678000.0,-2791000.0,,CommonMetricExtracted
Cash,,,,,,11460000.0,72312000.0,37030000.0,23902000.0,10139000.0,3881000.0,927000.0,4360000.0,2523000.0,5664000.0,2706000.0,22247000.0,15523000.0,3633000.0,26732000.0,,,11460000.0,37030000.0,10139000.0,927000.0,2523000.0,2706000.0,15523000.0,26732000.0,,37030000.0,3881000.0,2523000.0,22247000.0,26732000.0,,37030000.0,927000.0,2706000.0,26732000.0,,10139000.0,5664000.0,26732000.0,10139000.0,26732000.0,26732000.0,26732000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,44000.0,23000.0,29000.0,21000.0,10000.0,,,,,,,,2000000.0,,,,,23000.0,21000.0,,,,,,,23000.0,10000.0,,,,,23000.0,,,,,21000.0,,,21000.0,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,47000.0,75000.0,140000.0,503000.0,215000.0,,,,,,,,47000.0,140000.0,215000.0,,,,,75000.0,215000.0,,,,47000.0,215000.0,,,,215000.0,,215000.0,215000.0,215000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,73046000.0,52175000.0,24337000.0,10481000.0,4053000.0,1008000.0,4401000.0,2560000.0,5704000.0,2753000.0,25128000.0,17979000.0,9750000.0,26947000.0,,,,52175000.0,10481000.0,1008000.0,2560000.0,2753000.0,17979000.0,26947000.0,,52175000.0,4053000.0,2560000.0,25128000.0,26947000.0,,52175000.0,1008000.0,2753000.0,26947000.0,,10481000.0,5704000.0,26947000.0,10481000.0,26947000.0,26947000.0,26947000.0,CommonMetricExtracted
