,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,513085000.0,628372000.0,627124000.0,788942000.0,,,,,,,,,513085000.0,627124000.0,,,,,,628372000.0,,,,,513085000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,28855000.0,190475000.0,185827000.0,389903000.0,511555000.0,480164000.0,565591000.0,,,,,,,,190475000.0,389903000.0,480164000.0,,,,,190475000.0,511555000.0,,,,,389903000.0,,,,185827000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,26576000.0,34926000.0,34840000.0,37233000.0,,,,,,,,,26576000.0,34840000.0,,,,,,34926000.0,,,,,26576000.0,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,3171000.0,5864000.0,9172000.0,4411000.0,830000.0,1518000.0,682000.0,635000.0,,,,,,,3171000.0,9172000.0,830000.0,682000.0,,,,,9172000.0,1518000.0,,,,3171000.0,830000.0,,,,4411000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,-1686000.0,-9110000.0,-34690000.0,-39219000.0,-27977000.0,-27944000.0,-13587000.0,-36433000.0,,,,,,,-1686000.0,-34690000.0,-27977000.0,-13587000.0,,,,,-34690000.0,-27944000.0,,,,-1686000.0,-27977000.0,,,,-39219000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,31407000.0,19367000.0,27146000.0,22587000.0,,,,,,,,,31407000.0,27146000.0,,,,,,19367000.0,,,,,31407000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,31407000.0,42669000.0,9656000.0,22577000.0,,,,,,,,,31407000.0,9656000.0,,,,,,42669000.0,,,,,31407000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,415909000.0,206632000.0,228340000.0,,,,,,,,,415909000.0,228340000.0,,,,,,228340000.0,,,,,228340000.0,,,,228340000.0,,228340000.0,228340000.0,228340000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,95279000.0,86227000.0,101695000.0,,,,,,,,,95279000.0,101695000.0,,,,,,101695000.0,,,,,101695000.0,,,,101695000.0,,101695000.0,101695000.0,101695000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,46786000.0,37722000.0,31332000.0,,,,,,,,,46786000.0,31332000.0,,,,,,31332000.0,,,,,31332000.0,,,,31332000.0,,31332000.0,31332000.0,31332000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,245529000.0,200551000.0,252087000.0,,,,,,,,,245529000.0,252087000.0,,,,,,252087000.0,,,,,252087000.0,,,,252087000.0,,252087000.0,252087000.0,252087000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,803503000.0,773029000.0,677710000.0,,,,,,,,,803503000.0,677710000.0,,,,,,677710000.0,,,,,677710000.0,,,,677710000.0,,677710000.0,677710000.0,677710000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,2641305000.0,2008843000.0,2008884000.0,,,,,,,,,2641305000.0,2008884000.0,,,,,,2008884000.0,,,,,2008884000.0,,,,2008884000.0,,2008884000.0,2008884000.0,2008884000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,1277875000.0,973785000.0,915469000.0,,,,,,,,,1277875000.0,915469000.0,,,,,,915469000.0,,,,,915469000.0,,,,915469000.0,,915469000.0,915469000.0,915469000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,5449694000.0,4307259000.0,4221665000.0,,,,,,,,,5449694000.0,4221665000.0,,,,,,4221665000.0,,,,,4221665000.0,,,,4221665000.0,,4221665000.0,4221665000.0,4221665000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,67823000.0,24080000.0,15506000.0,,,,,,,,,67823000.0,15506000.0,,,,,,15506000.0,,,,,15506000.0,,,,15506000.0,,15506000.0,15506000.0,15506000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,157431000.0,190682000.0,241957000.0,,,,,,,,,157431000.0,241957000.0,,,,,,241957000.0,,,,,241957000.0,,,,241957000.0,,241957000.0,241957000.0,241957000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,474738000.0,644119000.0,564471000.0,,,,,,,,,474738000.0,564471000.0,,,,,,564471000.0,,,,,564471000.0,,,,564471000.0,,564471000.0,564471000.0,564471000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,117879000.0,136889000.0,158352000.0,,,,,,,,,117879000.0,158352000.0,,,,,,158352000.0,,,,,158352000.0,,,,158352000.0,,158352000.0,158352000.0,158352000.0,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,11520000.0,19040000.0,60512000.0,,,,,,,,,11520000.0,60512000.0,,,,,,60512000.0,,,,,60512000.0,,,,60512000.0,,60512000.0,60512000.0,60512000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,1008328000.0,977316000.0,778487000.0,,,,,,,,,1008328000.0,778487000.0,,,,,,778487000.0,,,,,778487000.0,,,,778487000.0,,778487000.0,778487000.0,778487000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,1274931000.0,4465313000.0,4441366000.0,3329943000.0,3443178000.0,,,,,,,,1274931000.0,4441366000.0,3443178000.0,,,,,4465313000.0,3443178000.0,,,,1274931000.0,3443178000.0,,,,3443178000.0,,3443178000.0,3443178000.0,3443178000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,-44717000.0,-177262000.0,7906000.0,-30905000.0,,,,,,,,,-44717000.0,7906000.0,,,,,,-177262000.0,,,,,-44717000.0,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,46105000.0,-21533000.0,-285111000.0,128349000.0,,,,,,,,,46105000.0,-285111000.0,,,,,,-21533000.0,,,,,46105000.0,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,23895000.0,7484000.0,0.0,0.0,,,,,,,,,23895000.0,0.0,,,,,,7484000.0,,,,,23895000.0,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,124308000.0,128196000.0,70158000.0,-75187000.0,,,,,,,,,124308000.0,70158000.0,,,,,,128196000.0,,,,,124308000.0,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,0.7599189218160733,0.8140957903916788,0.7656603797654052,0.716898073622649,,,,,,,,,0.7599189218160733,0.7656603797654052,,,,,,0.8140957903916788,,,,,0.7599189218160733,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,123182000.0,116817000.0,146960000.0,223351000.0,,,,,,,,,123182000.0,146960000.0,,,,,,116817000.0,,,,,123182000.0,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,0.24008107818392663,0.18590420960832119,0.23433962023459476,0.28310192637735093,,,,,,,,,0.24008107818392663,0.23433962023459476,,,,,,0.18590420960832119,,,,,0.24008107818392663,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,0.05179648596236491,0.0555817254747188,0.05555520120422755,0.04719358330523663,,,,,,,,,0.05179648596236491,0.05555520120422755,,,,,,0.0555817254747188,,,,,0.05179648596236491,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,0.001617665688920939,0.0024157664568122067,0.0010875042256395864,0.0008048753900793722,,,,,,,,,0.001617665688920939,0.0010875042256395864,,,,,,0.0024157664568122067,,,,,0.001617665688920939,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,-0.05452702768547122,-0.04447047290458518,-0.021665571721063138,-0.04617956706576656,,,,,,,,,-0.05452702768547122,-0.021665571721063138,,,,,,-0.04447047290458518,,,,,-0.05452702768547122,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,,,-1.122600707724202,-0.6930647008302319,-1.997939206594539,-0.6199599264403151,,,,,,,,,-1.122600707724202,-1.997939206594539,,,,,,-0.6930647008302319,,,,,-1.122600707724202,,,,,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,,,0.061212079869807146,0.06790404410126485,0.015397273904363412,0.028616805798144858,,,,,,,,,0.061212079869807146,0.015397273904363412,,,,,,0.06790404410126485,,,,,0.061212079869807146,,,,,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,0.5176197226394923,0.2673017441777734,0.3369287748446976,,,,,,,,,0.5176197226394923,0.3369287748446976,,,,,,0.3369287748446976,,,,,0.3369287748446976,,,,0.3369287748446976,,0.3369287748446976,0.3369287748446976,0.3369287748446976,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,0.11857951992711913,0.11154432757373915,0.15005680895958448,,,,,,,,,0.11857951992711913,0.15005680895958448,,,,,,0.15005680895958448,,,,,0.15005680895958448,,,,0.15005680895958448,,0.15005680895958448,0.15005680895958448,0.15005680895958448,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,0.05822753617596947,0.04879765183453661,0.04623216420002656,,,,,,,,,0.05822753617596947,0.04623216420002656,,,,,,0.04623216420002656,,,,,0.04623216420002656,,,,0.04623216420002656,,0.04623216420002656,0.04623216420002656,0.04623216420002656,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,0.3055732212574191,0.25943528638640984,0.37196883622788507,,,,,,,,,0.3055732212574191,0.37196883622788507,,,,,,0.37196883622788507,,,,,0.37196883622788507,,,,0.37196883622788507,,0.37196883622788507,0.37196883622788507,0.37196883622788507,CommonMetricCalculated
