,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,90714000.0,93468000.0,78626000.0,90891000.0,78893000.0,130513000.0,128304000.0,200521000.0,154014000.0,,,,,,,93468000.0,90891000.0,130513000.0,200521000.0,,,,90714000.0,90891000.0,128304000.0,,,,93468000.0,130513000.0,,,,78893000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,20829000.0,25043000.0,21762000.0,37192000.0,39332000.0,46554000.0,58809000.0,,56315000.0,46327000.0,71653000.0,79269000.0,147741000.0,116732000.0,,,,20829000.0,21762000.0,39332000.0,58809000.0,56315000.0,71653000.0,147741000.0,,,21762000.0,46554000.0,56315000.0,79269000.0,,,21762000.0,58809000.0,71653000.0,,,39332000.0,46327000.0,,39332000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,12326000.0,30087000.0,46710000.0,47655000.0,38745000.0,38026000.0,45187000.0,47787000.0,59119000.0,63489000.0,75491000.0,72799000.0,124124000.0,160854000.0,169818000.0,175017000.0,,,12326000.0,46710000.0,38745000.0,45187000.0,59119000.0,75491000.0,124124000.0,169818000.0,,30087000.0,38745000.0,47787000.0,75491000.0,160854000.0,,12326000.0,38745000.0,59119000.0,124124000.0,,30087000.0,45187000.0,72799000.0,,45187000.0,30087000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,75879000.0,111821000.0,76080000.0,47623000.0,45217000.0,48230000.0,60440000.0,67617000.0,65324000.0,62594000.0,59630000.0,64152000.0,112899000.0,193000000.0,187170000.0,134922000.0,,,75879000.0,76080000.0,45217000.0,60440000.0,65324000.0,59630000.0,112899000.0,187170000.0,,111821000.0,45217000.0,67617000.0,59630000.0,193000000.0,,75879000.0,45217000.0,65324000.0,112899000.0,,111821000.0,60440000.0,64152000.0,,60440000.0,111821000.0,,CommonMetricExtracted
OperatingMargin,,,,,367000.0,68000.0,655000.0,147000.0,728000.0,-478000.0,364000.0,103000.0,516000.0,848000.0,1022000.0,2055000.0,93000.0,7638000.0,32684000.0,23783000.0,,,367000.0,655000.0,728000.0,364000.0,516000.0,1022000.0,93000.0,32684000.0,,68000.0,728000.0,103000.0,1022000.0,7638000.0,,367000.0,728000.0,516000.0,93000.0,,68000.0,364000.0,2055000.0,,364000.0,68000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,14690000.0,14343000.0,13412000.0,,,,,,,,,,14343000.0,,,,,,14690000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,-93649000.0,0.0,-11424000.0,316000.0,,,,,,,,,-93649000.0,-11424000.0,,,,,,0.0,,,,,-93649000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,-87703000.0,-140166000.0,-109388000.0,-94465000.0,-79293000.0,-66160000.0,-31696000.0,-74375000.0,-92189000.0,-102562000.0,-84134000.0,29403000.0,-181223000.0,-314248000.0,-306735000.0,-309851000.0,,,-87703000.0,-109388000.0,-79293000.0,-31696000.0,-92189000.0,-84134000.0,-181223000.0,-306735000.0,,-140166000.0,-79293000.0,-74375000.0,-84134000.0,-314248000.0,,-87703000.0,-79293000.0,-92189000.0,-181223000.0,,-140166000.0,-31696000.0,29403000.0,,-31696000.0,-140166000.0,,CommonMetricExtracted
Cash,,,,78462000.0,89232000.0,147650000.0,58865000.0,46540000.0,,36449000.0,33629000.0,16765000.0,16507000.0,,,,460725000.0,325089000.0,179911000.0,55370000.0,,78462000.0,147650000.0,46540000.0,36449000.0,16765000.0,,,325089000.0,55370000.0,89232000.0,46540000.0,33629000.0,,460725000.0,55370000.0,78462000.0,46540000.0,16765000.0,,55370000.0,89232000.0,36449000.0,,55370000.0,36449000.0,55370000.0,55370000.0,55370000.0,CommonMetricExtracted
CurrentReceivables,,,,,,341000.0,4557000.0,2822000.0,,3406000.0,5245000.0,11421000.0,13433000.0,,,,24241000.0,18786000.0,36615000.0,27524000.0,,,341000.0,2822000.0,3406000.0,11421000.0,,,18786000.0,27524000.0,,2822000.0,5245000.0,,24241000.0,27524000.0,,2822000.0,11421000.0,,27524000.0,,3406000.0,,27524000.0,3406000.0,27524000.0,27524000.0,27524000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,2235000.0,2093000.0,2006000.0,,1671000.0,12071000.0,9978000.0,2249000.0,2438000.0,,,7394000.0,10289000.0,17040000.0,18781000.0,,,2235000.0,2006000.0,1671000.0,9978000.0,2438000.0,,10289000.0,18781000.0,,2006000.0,12071000.0,2438000.0,7394000.0,18781000.0,,2006000.0,9978000.0,,18781000.0,,1671000.0,,18781000.0,1671000.0,18781000.0,18781000.0,18781000.0,CommonMetricExtracted
Inventory,,,,,,6864000.0,15517000.0,9592000.0,,11335000.0,10955000.0,15634000.0,23065000.0,,,,24599000.0,50381000.0,56676000.0,58755000.0,,,6864000.0,9592000.0,11335000.0,15634000.0,,,50381000.0,58755000.0,,9592000.0,10955000.0,,24599000.0,58755000.0,,9592000.0,15634000.0,,58755000.0,,11335000.0,,58755000.0,11335000.0,58755000.0,58755000.0,58755000.0,CommonMetricExtracted
CurrentAssets,,,,,,293114000.0,199601000.0,115000000.0,,117760000.0,110541000.0,109011000.0,101619000.0,,,,1101134000.0,852074000.0,742047000.0,495681000.0,,,293114000.0,115000000.0,117760000.0,109011000.0,,,852074000.0,495681000.0,,115000000.0,110541000.0,,1101134000.0,495681000.0,,115000000.0,109011000.0,,495681000.0,,117760000.0,,495681000.0,117760000.0,495681000.0,495681000.0,495681000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,12311000.0,18398000.0,14329000.0,,6601000.0,8548000.0,14560000.0,37920000.0,,,,32504000.0,41580000.0,36432000.0,30505000.0,,,12311000.0,14329000.0,6601000.0,14560000.0,,,41580000.0,30505000.0,,14329000.0,8548000.0,,32504000.0,30505000.0,,14329000.0,14560000.0,,30505000.0,,6601000.0,,30505000.0,6601000.0,30505000.0,30505000.0,30505000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,409974000.0,409974000.0,462261000.0,317761000.0,,,,,,,,,409974000.0,317761000.0,,,,,409974000.0,317761000.0,,,,,317761000.0,,,,317761000.0,,317761000.0,317761000.0,317761000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,410979000.0,410245000.0,456984000.0,389572000.0,,,,,,,,,410245000.0,389572000.0,,,,,410979000.0,389572000.0,,,,,389572000.0,,,,389572000.0,,389572000.0,389572000.0,389572000.0,CommonMetricExtracted
TotalAssets,,,,,,305747000.0,218316000.0,129683000.0,,124523000.0,131107000.0,137884000.0,144084000.0,,,,2006970000.0,1767086000.0,1746013000.0,1260447000.0,,,305747000.0,129683000.0,124523000.0,137884000.0,,,1767086000.0,1260447000.0,,129683000.0,131107000.0,,2006970000.0,1260447000.0,,129683000.0,137884000.0,,1260447000.0,,124523000.0,,1260447000.0,124523000.0,1260447000.0,1260447000.0,1260447000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,9515000.0,4742000.0,2988000.0,,17049000.0,20300000.0,24963000.0,21711000.0,,,,943330000.0,941307000.0,953013000.0,686679000.0,,,9515000.0,2988000.0,17049000.0,24963000.0,,,941307000.0,686679000.0,,2988000.0,20300000.0,,943330000.0,686679000.0,,2988000.0,24963000.0,,686679000.0,,17049000.0,,686679000.0,17049000.0,686679000.0,686679000.0,686679000.0,CommonMetricExtracted
CurrentLiability,,,,,,20840000.0,29634000.0,22947000.0,,44464000.0,53970000.0,52059000.0,41858000.0,,3400000.0,,132416000.0,342548000.0,174996000.0,116008000.0,,,20840000.0,22947000.0,44464000.0,52059000.0,,,342548000.0,116008000.0,,22947000.0,53970000.0,,132416000.0,116008000.0,,22947000.0,52059000.0,,116008000.0,,44464000.0,3400000.0,116008000.0,44464000.0,116008000.0,116008000.0,116008000.0,CommonMetricExtracted
