,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,972046000.0,1158794000.0,1362496000.0,2380071000.0,3105891000.0,3316616000.0,5160100000.0,4707688000.0,,,,,,,972046000.0,1362496000.0,3105891000.0,5160100000.0,,,,,1362496000.0,3316616000.0,,,,972046000.0,3105891000.0,,,,2380071000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,514403000.0,583693000.0,697506000.0,841147000.0,1588890000.0,1928432000.0,2051120000.0,3541817000.0,3251724000.0,,,,,,,583693000.0,841147000.0,1928432000.0,3541817000.0,,,,514403000.0,841147000.0,2051120000.0,,,,583693000.0,1928432000.0,,,,1588890000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,71112000.0,92045000.0,99392000.0,110175000.0,154030000.0,149829000.0,160646000.0,176002000.0,208757000.0,233518000.0,440998000.0,483989000.0,474096000.0,1036699000.0,854001000.0,,,,92045000.0,110175000.0,149829000.0,176002000.0,233518000.0,483989000.0,1036699000.0,,71112000.0,110175000.0,160646000.0,233518000.0,474096000.0,,,110175000.0,176002000.0,483989000.0,,71112000.0,149829000.0,440998000.0,,149829000.0,71112000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,11806000.0,16079000.0,21410000.0,22689000.0,79070000.0,81455000.0,60354000.0,96810000.0,117244000.0,139163000.0,339073000.0,330105000.0,377106000.0,499603000.0,478788000.0,,,,16079000.0,22689000.0,81455000.0,96810000.0,139163000.0,330105000.0,499603000.0,,11806000.0,22689000.0,60354000.0,139163000.0,377106000.0,,,22689000.0,96810000.0,330105000.0,,11806000.0,81455000.0,339073000.0,,81455000.0,11806000.0,,CommonMetricExtracted
OperatingMargin,,,,,,-277000.0,3090000.0,7168000.0,7155000.0,,,1223000.0,10056000.0,5259000.0,2562000.0,-13998000.0,10370000.0,-11233000.0,-31566000.0,44707000.0,,,,3090000.0,7155000.0,,10056000.0,2562000.0,10370000.0,-31566000.0,,-277000.0,7155000.0,1223000.0,2562000.0,-11233000.0,,,7155000.0,10056000.0,10370000.0,,-277000.0,,-13998000.0,,,-277000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,121254000.0,286872000.0,288475000.0,,,,,,,,,,286872000.0,,,,,,121254000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,12582000.0,18744000.0,17620000.0,18766000.0,20113000.0,23159000.0,24469000.0,23514000.0,34192000.0,21296000.0,3101000.0,55038000.0,47048000.0,-96100000.0,11117000.0,,,,18744000.0,18766000.0,23159000.0,23514000.0,21296000.0,55038000.0,-96100000.0,,12582000.0,18766000.0,24469000.0,21296000.0,47048000.0,,,18766000.0,23514000.0,55038000.0,,12582000.0,23159000.0,3101000.0,,23159000.0,12582000.0,,CommonMetricExtracted
NetIncome,,,,,,158000.0,336000.0,969000.0,,,,,,,,,,0.0,0.0,-2610000.0,,,,336000.0,,,,,,0.0,,158000.0,,,,0.0,,,,,,,158000.0,,,,,158000.0,,CommonMetricExtracted
Cash,,,,,199950000.0,245380000.0,167061000.0,67761000.0,185433000.0,91217000.0,173634000.0,354347000.0,443066000.0,247038000.0,204872000.0,440258000.0,1591892000.0,2582371000.0,821310000.0,926033000.0,,,245380000.0,67761000.0,91217000.0,354347000.0,247038000.0,440258000.0,2582371000.0,926033000.0,199950000.0,67761000.0,173634000.0,247038000.0,1591892000.0,926033000.0,,67761000.0,354347000.0,440258000.0,926033000.0,199950000.0,91217000.0,204872000.0,926033000.0,91217000.0,926033000.0,926033000.0,926033000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,141037000.0,144345000.0,107173000.0,137324000.0,140772000.0,165715000.0,305668000.0,215032000.0,269642000.0,220289000.0,658962000.0,700331000.0,901531000.0,848542000.0,,,,144345000.0,137324000.0,165715000.0,215032000.0,220289000.0,700331000.0,848542000.0,,144345000.0,140772000.0,215032000.0,658962000.0,848542000.0,,144345000.0,165715000.0,220289000.0,848542000.0,,137324000.0,269642000.0,848542000.0,137324000.0,848542000.0,848542000.0,848542000.0,CommonMetricExtracted
