,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,126567000.0,256956000.0,458605000.0,653560000.0,944285000.0,1263963000.0,,,,,,,,126567000.0,458605000.0,944285000.0,,,,,126567000.0,653560000.0,,,,,458605000.0,,,,256956000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,32008000.0,40777000.0,64093000.0,138719000.0,219939000.0,269817000.0,,,,,,,,32008000.0,64093000.0,219939000.0,,,,,32008000.0,138719000.0,,,,,64093000.0,,,,40777000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,-34000.0,-1302000.0,3125000.0,5213000.0,-2838000.0,3999000.0,,,,,,,,-34000.0,3125000.0,-2838000.0,,,,,-34000.0,5213000.0,,,,,3125000.0,,,,-1302000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,1302000.0,2352000.0,3241000.0,,,,,,,,,,2352000.0,,,,,,1302000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,259000.0,1163000.0,1043000.0,1043000.0,5902000.0,6727000.0,,,,,,,,259000.0,1043000.0,5902000.0,,,,,259000.0,1043000.0,,,,,1043000.0,,,,1163000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,-4201000.0,-7468000.0,-10034000.0,,,,,,-51392000.0,-32564000.0,-38756000.0,-114019000.0,-117840000.0,-36978000.0,,,,-4201000.0,-10034000.0,,,-51392000.0,-38756000.0,-117840000.0,,,-10034000.0,,-51392000.0,-114019000.0,,,-10034000.0,,-38756000.0,,,,-32564000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,182354000.0,186694000.0,403262000.0,300635000.0,323710000.0,368097000.0,,,,,,,,186694000.0,300635000.0,368097000.0,,,,,403262000.0,368097000.0,,,,186694000.0,368097000.0,,,182354000.0,368097000.0,,368097000.0,368097000.0,368097000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,158055000.0,195848000.0,288934000.0,,,,,,,,,158055000.0,288934000.0,,,,,,288934000.0,,,,,288934000.0,,,,288934000.0,,288934000.0,288934000.0,288934000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,6350000.0,17448000.0,19327000.0,33143000.0,46518000.0,,,,,,,,6350000.0,19327000.0,46518000.0,,,,,17448000.0,46518000.0,,,,6350000.0,46518000.0,,,,46518000.0,,46518000.0,46518000.0,46518000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,345331000.0,607552000.0,669419000.0,932118000.0,897514000.0,,,,,,,,345331000.0,669419000.0,897514000.0,,,,,607552000.0,897514000.0,,,,345331000.0,897514000.0,,,,897514000.0,,897514000.0,897514000.0,897514000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,9675000.0,9249000.0,11546000.0,16010000.0,31566000.0,,,,,,,,9675000.0,11546000.0,31566000.0,,,,,9249000.0,31566000.0,,,,9675000.0,31566000.0,,,,31566000.0,,31566000.0,31566000.0,31566000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,0.0,54940000.0,54940000.0,,,,,,,,,0.0,54940000.0,,,,,,54940000.0,,,,,54940000.0,,,,54940000.0,,54940000.0,54940000.0,54940000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,0.0,16642000.0,10463000.0,,,,,,,,,0.0,10463000.0,,,,,,10463000.0,,,,,10463000.0,,,,10463000.0,,10463000.0,10463000.0,10463000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,362989000.0,625664000.0,695953000.0,1036306000.0,1012871000.0,,,,,,,,362989000.0,695953000.0,1012871000.0,,,,,625664000.0,1012871000.0,,,,362989000.0,1012871000.0,,,,1012871000.0,,1012871000.0,1012871000.0,1012871000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,43998000.0,67893000.0,94546000.0,180853000.0,132811000.0,,,,,,,,43998000.0,94546000.0,132811000.0,,,,,67893000.0,132811000.0,,,,43998000.0,132811000.0,,,,132811000.0,,132811000.0,132811000.0,132811000.0,CommonMetricExtracted
