,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,272260000.0,225110000.0,253155000.0,228031000.0,235637000.0,230468000.0,,,,,,,,272260000.0,253155000.0,235637000.0,,,,,272260000.0,228031000.0,,,,,253155000.0,,,,225110000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,36815000.0,39374000.0,63701000.0,55093000.0,62682000.0,64404000.0,,,,,,,,36815000.0,63701000.0,62682000.0,,,,,36815000.0,55093000.0,,,,,63701000.0,,,,39374000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,141639000.0,118488000.0,116294000.0,89978000.0,89933000.0,80163000.0,,,,,,,,141639000.0,116294000.0,89933000.0,,,,,141639000.0,89978000.0,,,,,116294000.0,,,,118488000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,97650000.0,71870000.0,52240000.0,50382000.0,54935000.0,,,,,,,,,71870000.0,50382000.0,,,,,,52240000.0,,,,,71870000.0,,,,97650000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,-6931.0,-10163592.0,-84614000.0,-139447000.0,-142275000.0,-240280000.0,-276596000.0,,,-39045000.0,-30402000.0,1290000.0,23720000.0,32640000.0,30966000.0,,,,-10163592.0,-139447000.0,-240280000.0,,-39045000.0,1290000.0,32640000.0,,-6931.0,-139447000.0,-276596000.0,-39045000.0,23720000.0,,,-139447000.0,,1290000.0,,-6931.0,-240280000.0,-30402000.0,,-240280000.0,-6931.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,11592000.0,13330000.0,12452000.0,,,,,,,,,,13330000.0,,,,,,11592000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,455000.0,1083000.0,897000.0,,,,,,,,,,1083000.0,,,,,,455000.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,-6931.0,-10239809.0,-84592000.0,-139251000.0,-141965000.0,-239284000.0,-276011000.0,-291955000.0,-113575000.0,-75595000.0,-59995000.0,-29126000.0,2000.0,21591000.0,30278000.0,,,,-10239809.0,-139251000.0,-239284000.0,-291955000.0,-75595000.0,-29126000.0,21591000.0,,-6931.0,-139251000.0,-276011000.0,-75595000.0,2000.0,,,-139251000.0,-291955000.0,-29126000.0,,-6931.0,-239284000.0,-59995000.0,,-239284000.0,-6931.0,,CommonMetricExtracted
Cash,,,,,,,,,43044000.0,38539000.0,31569000.0,194494000.0,,,,85293000.0,63131000.0,76201000.0,84585000.0,69219000.0,,,,,38539000.0,194494000.0,,85293000.0,76201000.0,69219000.0,,,31569000.0,,63131000.0,69219000.0,,,194494000.0,85293000.0,69219000.0,,38539000.0,,69219000.0,38539000.0,69219000.0,69219000.0,69219000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,25543000.0,32526000.0,40350000.0,47837000.0,32011000.0,,,,,,,,25543000.0,40350000.0,32011000.0,,,,,32526000.0,32011000.0,,,,25543000.0,32011000.0,,,,32011000.0,,32011000.0,32011000.0,32011000.0,CommonMetricExtracted
