,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,380728000.0,360381000.0,495930000.0,845203000.0,2038273000.0,2111325000.0,1741098000.0,1387163000.0,1194576000.0,1063045000.0,1123375000.0,960912000.0,1050100000.0,953900000.0,1066700000.0,976000000.0,,,380728000.0,495930000.0,2038273000.0,1741098000.0,1194576000.0,1123375000.0,1050100000.0,1066700000.0,,360381000.0,2038273000.0,1387163000.0,1123375000.0,953900000.0,,380728000.0,2038273000.0,1194576000.0,1050100000.0,,360381000.0,1741098000.0,960912000.0,,1741098000.0,360381000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,-2849000.0,33609000.0,122995000.0,257508000.0,352479000.0,-443159000.0,-129861000.0,-206361000.0,-143973000.0,-71476000.0,-126491000.0,-105684000.0,-4371000.0,24900000.0,-58100000.0,39300000.0,,,-2849000.0,122995000.0,352479000.0,-129861000.0,-143973000.0,-126491000.0,-4371000.0,-58100000.0,,33609000.0,352479000.0,-206361000.0,-126491000.0,24900000.0,,-2849000.0,352479000.0,-143973000.0,-4371000.0,,33609000.0,-129861000.0,-105684000.0,,-129861000.0,33609000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,186000000.0,273600000.0,288900000.0,,,,,,,,,,273600000.0,,,,,,186000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,96110000.0,5545000.0,44672000.0,76585000.0,42061000.0,26396000.0,116851000.0,-6986000.0,-15516000.0,529000.0,15634000.0,-65500000.0,-22400000.0,-800000.0,5600000.0,5300000.0,,,96110000.0,44672000.0,42061000.0,116851000.0,-15516000.0,15634000.0,-22400000.0,5600000.0,,5545000.0,42061000.0,-6986000.0,15634000.0,-800000.0,,96110000.0,42061000.0,-15516000.0,-22400000.0,,5545000.0,116851000.0,-65500000.0,,116851000.0,5545000.0,,CommonMetricExtracted
NetIncome,,,,,297000.0,37984000.0,78331000.0,180923000.0,310418000.0,-469800000.0,-247017000.0,-199762000.0,-127966000.0,-70772000.0,-142125000.0,-40178000.0,18100000.0,25700000.0,-63700000.0,33900000.0,,,297000.0,78331000.0,310418000.0,-247017000.0,-127966000.0,-142125000.0,18100000.0,-63700000.0,,37984000.0,310418000.0,-199762000.0,-142125000.0,25700000.0,,297000.0,310418000.0,-127966000.0,18100000.0,,37984000.0,-247017000.0,-40178000.0,,-247017000.0,37984000.0,,CommonMetricExtracted
Cash,,,,,,127796000.0,144234000.0,220130000.0,178512000.0,129473000.0,257272000.0,256549000.0,259655000.0,329132000.0,428339000.0,284802000.0,192800000.0,208000000.0,201600000.0,184800000.0,,,127796000.0,220130000.0,129473000.0,256549000.0,329132000.0,284802000.0,208000000.0,184800000.0,,220130000.0,257272000.0,329132000.0,192800000.0,184800000.0,,220130000.0,256549000.0,284802000.0,184800000.0,,129473000.0,428339000.0,184800000.0,129473000.0,184800000.0,184800000.0,184800000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,0.0,618018000.0,1550141000.0,,3831436000.0,4915360000.0,5939603000.0,6769427000.0,7582398000.0,8316875000.0,8314300000.0,8807600000.0,12591900000.0,,,,0.0,1550141000.0,3831436000.0,5939603000.0,7582398000.0,8314300000.0,12591900000.0,,0.0,,5939603000.0,8316875000.0,12591900000.0,,0.0,3831436000.0,7582398000.0,12591900000.0,,1550141000.0,6769427000.0,12591900000.0,1550141000.0,12591900000.0,12591900000.0,12591900000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,33247000.0,53786000.0,43310000.0,,62744000.0,37006000.0,33417000.0,38274000.0,16925000.0,13700000.0,20200000.0,13100000.0,11000000.0,,,,33247000.0,43310000.0,62744000.0,33417000.0,16925000.0,20200000.0,11000000.0,,33247000.0,,33417000.0,13700000.0,11000000.0,,33247000.0,62744000.0,16925000.0,11000000.0,,43310000.0,38274000.0,11000000.0,43310000.0,11000000.0,11000000.0,11000000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,5685962000.0,7927003000.0,8267278000.0,7380308000.0,7655663000.0,8403164000.0,9394216000.0,10406199000.0,10651127000.0,12147123000.0,12399200000.0,12513700000.0,16435400000.0,,,,5685962000.0,8267278000.0,7655663000.0,9394216000.0,10651127000.0,12399200000.0,16435400000.0,,5685962000.0,7380308000.0,9394216000.0,12147123000.0,16435400000.0,,5685962000.0,7655663000.0,10651127000.0,16435400000.0,,8267278000.0,10406199000.0,16435400000.0,8267278000.0,16435400000.0,16435400000.0,16435400000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalLiability,,,,,,,,3921168000.0,6054051000.0,7226113000.0,,7000380000.0,7856290000.0,8839511000.0,9994188000.0,10235755000.0,11670429000.0,11942500000.0,12111900000.0,15942500000.0,,,,3921168000.0,7226113000.0,7000380000.0,8839511000.0,10235755000.0,11942500000.0,15942500000.0,,3921168000.0,,8839511000.0,11670429000.0,15942500000.0,,3921168000.0,7000380000.0,10235755000.0,15942500000.0,,7226113000.0,9994188000.0,15942500000.0,7226113000.0,15942500000.0,15942500000.0,15942500000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,3400000000.0,4601556000.0,5380448000.0,6063435000.0,6772711000.0,6885022000.0,7326800000.0,7797300000.0,10872100000.0,,,,,,3400000000.0,5380448000.0,6772711000.0,7326800000.0,10872100000.0,,,,5380448000.0,6885022000.0,10872100000.0,,,3400000000.0,6772711000.0,10872100000.0,,,6063435000.0,10872100000.0,,10872100000.0,10872100000.0,10872100000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,-0.00748303250614612,0.09325963355448817,0.24800879156332548,0.30467000235446395,0.17293022082910386,-0.20989615525795413,-0.07458569247681636,-0.1487647810675458,-0.12052226061799333,-0.06723704076497232,-0.1125990875709358,-0.10998301613467207,-0.004162460718026855,0.026103365132613483,-0.05446704790475298,0.04026639344262295,,,-0.00748303250614612,0.24800879156332548,0.17293022082910386,-0.07458569247681636,-0.12052226061799333,-0.1125990875709358,-0.004162460718026855,-0.05446704790475298,,0.09325963355448817,0.17293022082910386,-0.1487647810675458,-0.1125990875709358,0.026103365132613483,,-0.00748303250614612,0.17293022082910386,-0.12052226061799333,-0.004162460718026855,,0.09325963355448817,-0.07458569247681636,-0.10998301613467207,,-0.07458569247681636,0.09325963355448817,,CommonMetricCalculated
