,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,48655000.0,49942000.0,49925000.0,54009000.0,67709000.0,69931000.0,,,,,,,,48655000.0,49925000.0,67709000.0,,,,,48655000.0,54009000.0,,,,,49925000.0,,,,49942000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,-31476000.0,4226000.0,153050000.0,-102549000.0,28102000.0,104278000.0,,,,,,,,-31476000.0,153050000.0,28102000.0,,,,,-31476000.0,-102549000.0,,,,,153050000.0,,,,4226000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,22346000.0,26122000.0,,,,,,,,,,21452000.0,78113000.0,,,,,26122000.0,,,,,21452000.0,,,26122000.0,,,,,,26122000.0,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,5541000.0,3779000.0,631000.0,,,,,-25216000.0,4041000.0,112900000.0,-21452000.0,21452000.0,78113000.0,,,,,3779000.0,,,-25216000.0,112900000.0,21452000.0,,,3779000.0,,-25216000.0,-21452000.0,,,3779000.0,,112900000.0,,,,4041000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,9209000.0,6595000.0,,,10617000.0,6438000.0,5597000.0,6267000.0,5073000.0,7189000.0,7328000.0,,,,,,,9209000.0,,10617000.0,5597000.0,5073000.0,7328000.0,,,,,6438000.0,5073000.0,,,,,5597000.0,7328000.0,,,10617000.0,7189000.0,,10617000.0,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
