,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,138346327.0,103805432.0,98979140.0,98660035.0,155715373.0,284037823.0,288378000.0,288532000.0,,,,,,,138346327.0,98979140.0,155715373.0,288378000.0,,,,,98979140.0,284037823.0,,,,138346327.0,155715373.0,,,,98660035.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,122633815.0,86942718.0,80253172.0,79604958.0,127009706.0,235182337.0,238313000.0,238537000.0,,,,,,,122633815.0,80253172.0,127009706.0,238313000.0,,,,,80253172.0,235182337.0,,,,122633815.0,127009706.0,,,,79604958.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,12675261.0,14383540.0,16300453.0,18170371.0,17078033.0,16163153.0,16815767.0,17140996.0,21728886.0,37800161.0,37669419.0,39543000.0,,,,,12675261.0,16300453.0,17078033.0,16815767.0,21728886.0,37669419.0,,,12675261.0,18170371.0,16815767.0,37800161.0,,,12675261.0,17078033.0,21728886.0,,,16300453.0,17140996.0,,16300453.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,-724874.0,-3588726.0,-12805388.0,-3942977.0,-7227655.0,-7804788.0,-5352246.0,-2001248.0,595470.0,750269.0,4623356.0,1405359.0,2825000.0,-4460000.0,,,,-724874.0,-12805388.0,-7227655.0,-5352246.0,595470.0,4623356.0,2825000.0,,,-12805388.0,-7804788.0,595470.0,1405359.0,,,-12805388.0,-5352246.0,4623356.0,,,-7227655.0,750269.0,,-7227655.0,,,CommonMetricExtracted
Interest,,,,,,,48530.0,187187.0,4196279.0,4296170.0,218275.0,240798.0,468030.0,437733.0,431628.0,701932.0,2495130.0,7280741.0,9729098.0,10312000.0,,,,48530.0,4196279.0,218275.0,468030.0,431628.0,2495130.0,9729098.0,,,4196279.0,240798.0,431628.0,7280741.0,,,4196279.0,468030.0,2495130.0,,,218275.0,701932.0,,218275.0,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,219082.0,254004.0,321169.0,172604.0,387000.0,291000.0,,,,,,,,219082.0,321169.0,387000.0,,,,,219082.0,172604.0,,,,,321169.0,,,,254004.0,,,,,CommonMetricExtracted
NetIncome,,,,,-67103.0,-1000057.0,-755275.0,-3735140.0,-17799351.0,-9897678.0,-7445930.0,-8045586.0,-5820276.0,-2438981.0,-55240.0,1034369.0,1691057.0,-6047986.0,-7291000.0,-15063000.0,,,-67103.0,-755275.0,-17799351.0,-7445930.0,-5820276.0,-55240.0,1691057.0,-7291000.0,,-1000057.0,-17799351.0,-8045586.0,-55240.0,-6047986.0,,-67103.0,-17799351.0,-5820276.0,1691057.0,,-1000057.0,-7445930.0,1034369.0,,-7445930.0,-1000057.0,,CommonMetricExtracted
Cash,,,,,,44309.0,66264.0,51355.0,,3154540.0,2989731.0,1328174.0,1055281.0,2122297.0,3411108.0,7516260.0,8427858.0,9563709.0,324014.0,396000.0,,,44309.0,51355.0,3154540.0,1328174.0,2122297.0,7516260.0,9563709.0,396000.0,,51355.0,2989731.0,2122297.0,8427858.0,396000.0,,51355.0,1328174.0,7516260.0,396000.0,,3154540.0,3411108.0,396000.0,3154540.0,396000.0,396000.0,396000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,29631843.0,33298797.0,34828495.0,16263276.0,16711809.0,13899451.0,17420889.0,39948973.0,45891144.0,58147058.0,62252000.0,,,,,29631843.0,34828495.0,16711809.0,17420889.0,45891144.0,62252000.0,,,33298797.0,16711809.0,39948973.0,62252000.0,,,34828495.0,17420889.0,62252000.0,,29631843.0,13899451.0,62252000.0,29631843.0,62252000.0,62252000.0,62252000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,684032.0,946908.0,2671002.0,1508014.0,965755.0,1110266.0,1069238.0,1952566.0,2310423.0,2142071.0,2601000.0,,,,,684032.0,2671002.0,965755.0,1069238.0,2310423.0,2601000.0,,,946908.0,965755.0,1952566.0,2601000.0,,,2671002.0,1069238.0,2601000.0,,684032.0,1110266.0,2601000.0,684032.0,2601000.0,2601000.0,2601000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,84327.0,58845.0,,33470415.0,37235436.0,38827671.0,18826571.0,19799861.0,18420825.0,26006387.0,50329397.0,57765276.0,60613143.0,75139000.0,,,,58845.0,33470415.0,38827671.0,19799861.0,26006387.0,57765276.0,75139000.0,,58845.0,37235436.0,19799861.0,50329397.0,75139000.0,,58845.0,38827671.0,26006387.0,75139000.0,,33470415.0,18420825.0,75139000.0,33470415.0,75139000.0,75139000.0,75139000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,753493.0,1608632.0,2414921.0,1320342.0,968025.0,2436094.0,3384055.0,5596566.0,5911227.0,4626090.0,6495000.0,,,,,753493.0,2414921.0,968025.0,3384055.0,5911227.0,6495000.0,,,1608632.0,968025.0,5596566.0,6495000.0,,,2414921.0,3384055.0,6495000.0,,753493.0,2436094.0,6495000.0,753493.0,6495000.0,6495000.0,6495000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,58337290.0,58337290.0,58337290.0,58337290.0,58208490.0,58208490.0,66310385.0,80621503.0,84258206.0,85828238.0,81065000.0,,,,,58337290.0,58337290.0,58208490.0,66310385.0,84258206.0,81065000.0,,,58337290.0,58208490.0,80621503.0,81065000.0,,,58337290.0,66310385.0,81065000.0,,58337290.0,58208490.0,81065000.0,58337290.0,81065000.0,81065000.0,81065000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,15115617.0,11828008.0,8489586.0,5031595.0,2610921.0,1590524.0,6528330.0,39118940.0,33556340.0,26052000.0,12946000.0,,,,,15115617.0,8489586.0,2610921.0,6528330.0,33556340.0,12946000.0,,,11828008.0,2610921.0,39118940.0,12946000.0,,,8489586.0,6528330.0,12946000.0,,15115617.0,1590524.0,12946000.0,15115617.0,12946000.0,12946000.0,12946000.0,CommonMetricExtracted
TotalAssets,,,,,,,320417.0,73651.0,,107676815.0,109009366.0,108069468.0,83515798.0,81587297.0,80655933.0,102229157.0,175666406.0,181491049.0,177119000.0,175645000.0,,,,73651.0,107676815.0,108069468.0,81587297.0,102229157.0,181491049.0,175645000.0,,73651.0,109009366.0,81587297.0,175666406.0,175645000.0,,73651.0,108069468.0,102229157.0,175645000.0,,107676815.0,80655933.0,175645000.0,107676815.0,175645000.0,175645000.0,175645000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,34847359.0,35305559.0,14253818.0,15777921.0,17851488.0,30819847.0,93934006.0,103939152.0,107093346.0,117815000.0,,,,,,35305559.0,15777921.0,30819847.0,103939152.0,117815000.0,,,34847359.0,15777921.0,93934006.0,117815000.0,,,35305559.0,30819847.0,117815000.0,,,17851488.0,117815000.0,,117815000.0,117815000.0,117815000.0,CommonMetricExtracted
