,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,0.0,0.0,17000000.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,0.0,0.0,17000000.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,-703488000.0,-535977000.0,252239000.0,,,,,,,,,,-535977000.0,,,,,,-703488000.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,11192000.0,48275000.0,33589000.0,39904000.0,187661000.0,256965000.0,73551000.0,80304000.0,122420000.0,599691000.0,370829000.0,,,2115869000.0,966777000.0,428430000.0,1103010000.0,,11192000.0,33589000.0,187661000.0,73551000.0,122420000.0,370829000.0,,966777000.0,1103010000.0,48275000.0,187661000.0,80304000.0,370829000.0,2115869000.0,1103010000.0,11192000.0,187661000.0,122420000.0,,1103010000.0,48275000.0,73551000.0,,1103010000.0,73551000.0,1103010000.0,1103010000.0,1103010000.0,CommonMetricExtracted
CurrentReceivables,,,,,,3224000.0,3633000.0,4713000.0,3530000.0,2416000.0,3977000.0,5228000.0,29468000.0,49044000.0,,,152990000.0,214628000.0,400327000.0,601988000.0,,,3224000.0,4713000.0,2416000.0,5228000.0,49044000.0,,214628000.0,601988000.0,,4713000.0,3977000.0,49044000.0,152990000.0,601988000.0,,4713000.0,5228000.0,,601988000.0,,2416000.0,,601988000.0,2416000.0,601988000.0,601988000.0,601988000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,102181000.0,276262000.0,,,,,,,,,,276262000.0,,,,,,276262000.0,,,,,276262000.0,,,,276262000.0,,276262000.0,276262000.0,276262000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,12813000.0,83605000.0,125445000.0,,,186212000.0,203968000.0,322859000.0,749960000.0,,,,,,12813000.0,125445000.0,,203968000.0,749960000.0,,,,125445000.0,186212000.0,749960000.0,,,12813000.0,,749960000.0,,,,749960000.0,,749960000.0,749960000.0,749960000.0,CommonMetricExtracted
CurrentAssets,,,,,,37838000.0,45184000.0,193908000.0,270806000.0,247796000.0,224543000.0,373476000.0,1228644000.0,1426183000.0,,,2604099000.0,2557861000.0,2579331000.0,3073463000.0,,,37838000.0,193908000.0,247796000.0,373476000.0,1426183000.0,,2557861000.0,3073463000.0,,193908000.0,224543000.0,1426183000.0,2604099000.0,3073463000.0,,193908000.0,373476000.0,,3073463000.0,,247796000.0,,3073463000.0,247796000.0,3073463000.0,3073463000.0,3073463000.0,CommonMetricExtracted
