,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,1919243.0,2051443.0,,,,,,,,,,1919243.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,-11065.0,-8772.0,,,,,,,,,,-11065.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,11065.0,8772.0,,,,,,,,,,11065.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,-101.0,-65570.0,-3115490.0,-283346.0,,,,,,,,,-101.0,-3115490.0,,,,,,-65570.0,,,,,-101.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,56222.0,484.0,,,,,,,,,,484.0,,,,,,484.0,,,,,484.0,,,,484.0,,484.0,484.0,484.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,185000.0,185000.0,,,,,,,,,,185000.0,,,,,,185000.0,,,,,185000.0,,,,185000.0,,185000.0,185000.0,185000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,449566.0,450789.0,,,,,,,,,,450789.0,,,,,,450789.0,,,,,450789.0,,,,450789.0,,450789.0,450789.0,450789.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,783651.0,713218.0,,,,,,,,,,713218.0,,,,,,713218.0,,,,,713218.0,,,,713218.0,,713218.0,713218.0,713218.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,37649.0,213680.0,269505.0,,,,,,,,,37649.0,269505.0,,,,,,269505.0,,,,,269505.0,,,,269505.0,,269505.0,269505.0,269505.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,37931.0,359346.0,765864.0,,,,,,,,,37931.0,765864.0,,,,,,765864.0,,,,,765864.0,,,,765864.0,,765864.0,765864.0,765864.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,734420.0,598728.0,,,,,,,,,,598728.0,,,,,,598728.0,,,,,598728.0,,,,598728.0,,598728.0,598728.0,598728.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,666883.0,879796.0,,,,,,,,,,879796.0,,,,,,879796.0,,,,,879796.0,,,,879796.0,,879796.0,879796.0,879796.0,CommonMetricExtracted
