,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,7826900000.0,7938300000.0,9538400000.0,11054400000.0,11184700000.0,11535900000.0,12277000000.0,12050900000.0,,,,,,,7826900000.0,9538400000.0,11184700000.0,12277000000.0,,,,,9538400000.0,11535900000.0,,,,7826900000.0,11184700000.0,,,,11054400000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,5483100000.0,5586800000.0,6885400000.0,7984800000.0,8005500000.0,8697100000.0,9012200000.0,8717500000.0,,,,,,,5483100000.0,6885400000.0,8005500000.0,9012200000.0,,,,,6885400000.0,8697100000.0,,,,5483100000.0,8005500000.0,,,,7984800000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,1683200000.0,1987700000.0,1511100000.0,1997700000.0,2136600000.0,2771200000.0,3472100000.0,2209400000.0,1474000000.0,1398400000.0,1473400000.0,1622500000.0,1403000000.0,1492800000.0,2189500000.0,2480600000.0,,,1683200000.0,1511100000.0,2136600000.0,3472100000.0,1474000000.0,1473400000.0,1403000000.0,2189500000.0,,1987700000.0,2136600000.0,2209400000.0,1473400000.0,1492800000.0,,1683200000.0,2136600000.0,1474000000.0,1403000000.0,,1987700000.0,3472100000.0,1622500000.0,,3472100000.0,1987700000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,1178700000.0,901900000.0,610200000.0,,,,,,,,,,901900000.0,,,,,,1178700000.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,317100000.0,360900000.0,421600000.0,195800000.0,400700000.0,298200000.0,362100000.0,225400000.0,254700000.0,174600000.0,218800000.0,201300000.0,193800000.0,290500000.0,218700000.0,262500000.0,,,317100000.0,421600000.0,400700000.0,362100000.0,254700000.0,218800000.0,193800000.0,218700000.0,,360900000.0,400700000.0,225400000.0,218800000.0,290500000.0,,317100000.0,400700000.0,254700000.0,193800000.0,,360900000.0,362100000.0,201300000.0,,362100000.0,360900000.0,,CommonMetricExtracted
NetIncome,,,,,979000000.0,723300000.0,819400000.0,474400000.0,786100000.0,315100000.0,-240800000.0,-665900000.0,648000000.0,811800000.0,678400000.0,841800000.0,1300900000.0,888200000.0,683200000.0,347700000.0,,,979000000.0,819400000.0,786100000.0,-240800000.0,648000000.0,678400000.0,1300900000.0,683200000.0,,723300000.0,786100000.0,-665900000.0,678400000.0,888200000.0,,979000000.0,786100000.0,648000000.0,1300900000.0,,723300000.0,-240800000.0,841800000.0,,-240800000.0,723300000.0,,CommonMetricExtracted
Cash,,,,140900000.0,243200000.0,953200000.0,972400000.0,103000000.0,183900000.0,183100000.0,183100000.0,798100000.0,251400000.0,128000000.0,236600000.0,553300000.0,79200000.0,83300000.0,93900000.0,77700000.0,,140900000.0,953200000.0,103000000.0,183100000.0,798100000.0,128000000.0,553300000.0,83300000.0,77700000.0,243200000.0,103000000.0,183100000.0,128000000.0,79200000.0,77700000.0,140900000.0,103000000.0,798100000.0,553300000.0,77700000.0,243200000.0,183100000.0,236600000.0,77700000.0,183100000.0,77700000.0,77700000.0,77700000.0,CommonMetricExtracted
CurrentReceivables,,,,,,849600000.0,849400000.0,924800000.0,1286200000.0,1230800000.0,972900000.0,836600000.0,563400000.0,582600000.0,831700000.0,860800000.0,793900000.0,867400000.0,965400000.0,871800000.0,,,849600000.0,924800000.0,1230800000.0,836600000.0,582600000.0,860800000.0,867400000.0,871800000.0,,924800000.0,972900000.0,582600000.0,793900000.0,871800000.0,,924800000.0,836600000.0,860800000.0,871800000.0,,1230800000.0,831700000.0,871800000.0,1230800000.0,871800000.0,871800000.0,871800000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,95000000.0,116300000.0,93700000.0,85000000.0,,,,,,,,,116300000.0,85000000.0,,,,,95000000.0,85000000.0,,,,,85000000.0,,,,85000000.0,,85000000.0,85000000.0,85000000.0,CommonMetricExtracted
Inventory,,,,,,1597900000.0,1803400000.0,1869600000.0,2394100000.0,2292600000.0,2201200000.0,1582100000.0,934200000.0,997100000.0,1571700000.0,1377900000.0,1734000000.0,1966700000.0,2232000000.0,2083000000.0,,,1597900000.0,1869600000.0,2292600000.0,1582100000.0,997100000.0,1377900000.0,1966700000.0,2083000000.0,,1869600000.0,2201200000.0,997100000.0,1734000000.0,2083000000.0,,1869600000.0,1582100000.0,1377900000.0,2083000000.0,,2292600000.0,1571700000.0,2083000000.0,2292600000.0,2083000000.0,2083000000.0,2083000000.0,CommonMetricExtracted
CurrentAssets,,,,,,3960100000.0,3899300000.0,3218800000.0,4379800000.0,4230800000.0,3667700000.0,3576700000.0,2013200000.0,1938900000.0,2733800000.0,2885900000.0,2702100000.0,3033700000.0,3385000000.0,3149500000.0,,,3960100000.0,3218800000.0,4230800000.0,3576700000.0,1938900000.0,2885900000.0,3033700000.0,3149500000.0,,3218800000.0,3667700000.0,1938900000.0,2702100000.0,3149500000.0,,3218800000.0,3576700000.0,2885900000.0,3149500000.0,,4230800000.0,2733800000.0,3149500000.0,4230800000.0,3149500000.0,3149500000.0,3149500000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,2602400000.0,2670100000.0,2741900000.0,3859200000.0,3811900000.0,3608100000.0,2710300000.0,1664900000.0,1620100000.0,2395300000.0,2389600000.0,2608500000.0,2737200000.0,2773800000.0,2896900000.0,,,2602400000.0,2741900000.0,3811900000.0,2710300000.0,1620100000.0,2389600000.0,2737200000.0,2896900000.0,,2741900000.0,3608100000.0,1620100000.0,2608500000.0,2896900000.0,,2741900000.0,2710300000.0,2389600000.0,2896900000.0,,3811900000.0,2395300000.0,2896900000.0,3811900000.0,2896900000.0,2896900000.0,2896900000.0,CommonMetricExtracted
Goodwill,,,,,3481400000.0,3549900000.0,3609400000.0,4015400000.0,8450700000.0,7836500000.0,6300300000.0,4533800000.0,4298300000.0,4502500000.0,11499600000.0,11436300000.0,11373500000.0,11329200000.0,11178200000.0,10582700000.0,,,3549900000.0,4015400000.0,7836500000.0,4533800000.0,4502500000.0,11436300000.0,11329200000.0,10582700000.0,3481400000.0,4015400000.0,6300300000.0,4502500000.0,11373500000.0,10582700000.0,,4015400000.0,4533800000.0,11436300000.0,10582700000.0,3481400000.0,7836500000.0,11499600000.0,10582700000.0,7836500000.0,10582700000.0,10582700000.0,10582700000.0,CommonMetricExtracted
IntangibleAssets,,,,,,874800000.0,936300000.0,1191500000.0,3422100000.0,3205800000.0,3030000000.0,1276800000.0,1232900000.0,1284500000.0,4661400000.0,4315700000.0,4157600000.0,3857800000.0,3205900000.0,2708400000.0,,,874800000.0,1191500000.0,3205800000.0,1276800000.0,1284500000.0,4315700000.0,3857800000.0,2708400000.0,,1191500000.0,3030000000.0,1284500000.0,4157600000.0,2708400000.0,,1191500000.0,1276800000.0,4315700000.0,2708400000.0,,3205800000.0,4661400000.0,2708400000.0,3205800000.0,2708400000.0,2708400000.0,2708400000.0,CommonMetricExtracted
TotalAssets,,,,,11073300000.0,11738000000.0,11408700000.0,11441900000.0,20405300000.0,19366400000.0,17542200000.0,13390600000.0,10096300000.0,10389500000.0,22213800000.0,22304000000.0,22195600000.0,22435100000.0,22052600000.0,20862300000.0,,,11738000000.0,11441900000.0,19366400000.0,13390600000.0,10389500000.0,22304000000.0,22435100000.0,20862300000.0,11073300000.0,11441900000.0,17542200000.0,10389500000.0,22195600000.0,20862300000.0,,11441900000.0,13390600000.0,22304000000.0,20862300000.0,11073300000.0,19366400000.0,22213800000.0,20862300000.0,19366400000.0,20862300000.0,20862300000.0,20862300000.0,CommonMetricExtracted
ShorttermDebt,,,,,,260200000.0,363500000.0,38100000.0,517900000.0,84200000.0,1008000000.0,571400000.0,199000000.0,307000000.0,20600000.0,845500000.0,23100000.0,707300000.0,1516000000.0,20300000.0,,,260200000.0,38100000.0,84200000.0,571400000.0,307000000.0,845500000.0,707300000.0,20300000.0,,38100000.0,1008000000.0,307000000.0,23100000.0,20300000.0,,38100000.0,571400000.0,845500000.0,20300000.0,,84200000.0,20600000.0,20300000.0,84200000.0,20300000.0,20300000.0,20300000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,1498100000.0,1638000000.0,1969900000.0,2411200000.0,2259800000.0,2076100000.0,1596400000.0,1325700000.0,1588000000.0,1946900000.0,2251400000.0,2400500000.0,2475500000.0,2119200000.0,2085000000.0,,,1498100000.0,1969900000.0,2259800000.0,1596400000.0,1588000000.0,2251400000.0,2475500000.0,2085000000.0,,1969900000.0,2076100000.0,1588000000.0,2400500000.0,2085000000.0,,1969900000.0,1596400000.0,2251400000.0,2085000000.0,,2259800000.0,1946900000.0,2085000000.0,2259800000.0,2085000000.0,2085000000.0,2085000000.0,CommonMetricExtracted
CurrentLiability,,,,,,2892500000.0,2804000000.0,3182000000.0,4602900000.0,3731200000.0,4607200000.0,3509200000.0,2440700000.0,3186900000.0,3008300000.0,4202600000.0,4227600000.0,4283100000.0,5210700000.0,4041200000.0,,,2892500000.0,3182000000.0,3731200000.0,3509200000.0,3186900000.0,4202600000.0,4283100000.0,4041200000.0,,3182000000.0,4607200000.0,3186900000.0,4227600000.0,4041200000.0,,3182000000.0,3509200000.0,4202600000.0,4041200000.0,,3731200000.0,3008300000.0,4041200000.0,3731200000.0,4041200000.0,4041200000.0,4041200000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,1546500000.0,1736100000.0,1822100000.0,2754200000.0,2603200000.0,3446100000.0,2145600000.0,1528800000.0,1069600000.0,1951800000.0,2165100000.0,1986000000.0,1968300000.0,1728600000.0,1616600000.0,,,1546500000.0,1822100000.0,2603200000.0,2145600000.0,1069600000.0,2165100000.0,1968300000.0,1616600000.0,,1822100000.0,3446100000.0,1069600000.0,1986000000.0,1616600000.0,,1822100000.0,2145600000.0,2165100000.0,1616600000.0,,2603200000.0,1951800000.0,1616600000.0,2603200000.0,1616600000.0,1616600000.0,1616600000.0,CommonMetricExtracted
TotalLiability,,,,,,6809100000.0,6732000000.0,6905900000.0,15042300000.0,14011200000.0,12932200000.0,9595800000.0,6018500000.0,6632900000.0,14750100000.0,14353300000.0,13564200000.0,13572900000.0,13245300000.0,12351000000.0,,,6809100000.0,6905900000.0,14011200000.0,9595800000.0,6632900000.0,14353300000.0,13572900000.0,12351000000.0,,6905900000.0,12932200000.0,6632900000.0,13564200000.0,12351000000.0,,6905900000.0,9595800000.0,14353300000.0,12351000000.0,,14011200000.0,14750100000.0,12351000000.0,14011200000.0,12351000000.0,12351000000.0,12351000000.0,CommonMetricExtracted
ShareholderEquity,,,,5337400000.0,4720900000.0,4928900000.0,4708500000.0,4536000000.0,5363000000.0,5355200000.0,4610000000.0,3794800000.0,4077800000.0,3756600000.0,7463700000.0,7950700000.0,8631400000.0,8862200000.0,8807300000.0,8511300000.0,,5337400000.0,4928900000.0,4536000000.0,5355200000.0,3794800000.0,3756600000.0,7950700000.0,8862200000.0,8511300000.0,4720900000.0,4536000000.0,4610000000.0,3756600000.0,8631400000.0,8511300000.0,5337400000.0,4536000000.0,3794800000.0,7950700000.0,8511300000.0,4720900000.0,5355200000.0,7463700000.0,8511300000.0,5355200000.0,8511300000.0,8511300000.0,8511300000.0,CommonMetricExtracted
OperatingCashFlow,,,,,124000000.0,1472700000.0,1352300000.0,1052000000.0,1412200000.0,1568600000.0,1504600000.0,1259200000.0,1175500000.0,954200000.0,1125500000.0,1842600000.0,1468100000.0,1177300000.0,995400000.0,2015600000.0,,,124000000.0,1352300000.0,1412200000.0,1504600000.0,1175500000.0,1125500000.0,1468100000.0,995400000.0,,1472700000.0,1412200000.0,1259200000.0,1125500000.0,1177300000.0,,124000000.0,1412200000.0,1175500000.0,1468100000.0,,1472700000.0,1504600000.0,1842600000.0,,1504600000.0,1472700000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,428900000.0,482300000.0,466200000.0,336700000.0,458700000.0,602400000.0,471900000.0,429800000.0,242100000.0,251600000.0,353100000.0,369500000.0,506400000.0,464400000.0,362200000.0,388100000.0,,,428900000.0,466200000.0,458700000.0,471900000.0,242100000.0,353100000.0,506400000.0,362200000.0,,482300000.0,458700000.0,429800000.0,353100000.0,464400000.0,,428900000.0,458700000.0,242100000.0,506400000.0,,482300000.0,471900000.0,369500000.0,,471900000.0,482300000.0,,CommonMetricExtracted
InvestingCashFlow,,,,,1791200000.0,-355300000.0,88900000.0,-1064300000.0,-5465800000.0,-514100000.0,-41600000.0,2127400000.0,-184000000.0,-576200000.0,-5166000000.0,-153800000.0,-340300000.0,-434900000.0,-354900000.0,-375000000.0,,,1791200000.0,88900000.0,-5465800000.0,-41600000.0,-184000000.0,-5166000000.0,-340300000.0,-354900000.0,,-355300000.0,-5465800000.0,2127400000.0,-5166000000.0,-434900000.0,,1791200000.0,-5465800000.0,-184000000.0,-340300000.0,,-355300000.0,-41600000.0,-153800000.0,,-41600000.0,-355300000.0,,CommonMetricExtracted
DividendsPaid,,,,,348200000.0,346700000.0,374500000.0,388600000.0,400700000.0,420900000.0,425200000.0,432500000.0,415000000.0,342300000.0,356200000.0,413600000.0,474600000.0,581800000.0,623800000.0,659300000.0,,,348200000.0,374500000.0,400700000.0,425200000.0,415000000.0,356200000.0,474600000.0,623800000.0,,346700000.0,400700000.0,432500000.0,356200000.0,581800000.0,,348200000.0,400700000.0,415000000.0,474600000.0,,346700000.0,425200000.0,413600000.0,,425200000.0,346700000.0,,CommonMetricExtracted
FinancingCashFlow,,,,,-1827000000.0,-404500000.0,-1432100000.0,-849600000.0,4133000000.0,-1034100000.0,-1430200000.0,-2681400000.0,-1569100000.0,-506900000.0,4149800000.0,-1370400000.0,-1609600000.0,-738000000.0,-631600000.0,-1656700000.0,,,-1827000000.0,-1432100000.0,4133000000.0,-1430200000.0,-1569100000.0,4149800000.0,-1609600000.0,-631600000.0,,-404500000.0,4133000000.0,-2681400000.0,4149800000.0,-738000000.0,,-1827000000.0,4133000000.0,-1569100000.0,-1609600000.0,,-404500000.0,-1430200000.0,-1370400000.0,,-1430200000.0,-404500000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,0.7005455544340671,0.7037778869531259,0.721861108781347,0.7223187147199305,0.7157545575652454,0.7539160360266646,0.7340718416551275,0.7233899542772739,,,,,,,0.7005455544340671,0.721861108781347,0.7157545575652454,0.7340718416551275,,,,,0.721861108781347,0.7539160360266646,,,,0.7005455544340671,0.7157545575652454,,,,0.7223187147199305,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,2343800000.0,2351500000.0,2653000000.0,3069600000.0,3179200000.0,2838800000.0,3264800000.0,3333400000.0,,,,,,,2343800000.0,2653000000.0,3179200000.0,3264800000.0,,,,,2653000000.0,2838800000.0,,,,2343800000.0,3179200000.0,,,,3069600000.0,,,,,CommonMetricCalculated
