,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,690123000.0,957958000.0,1037667000.0,1126278000.0,1427412000.0,1581766000.0,1769436000.0,1972229000.0,2115756000.0,,,,,,,957958000.0,1126278000.0,1581766000.0,1972229000.0,,,,690123000.0,1126278000.0,1769436000.0,,,,957958000.0,1581766000.0,,,,1427412000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,648065000.0,868866000.0,927335000.0,1018484000.0,1236043000.0,1367009000.0,1494869000.0,1634591000.0,1689633000.0,,,,,,,868866000.0,1018484000.0,1367009000.0,1634591000.0,,,,648065000.0,1018484000.0,1494869000.0,,,,868866000.0,1367009000.0,,,,1236043000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,43721000.0,63935000.0,98457000.0,142845000.0,270918000.0,,,,,,,,,63935000.0,142845000.0,,,,,,98457000.0,,,,,63935000.0,,,,43721000.0,,,,,CommonMetricExtracted
Interest,,,,,234000.0,1187000.0,1231000.0,944000.0,616000.0,1123000.0,3012000.0,2628000.0,9800000.0,12350000.0,16686000.0,29377000.0,19348000.0,20591000.0,29320000.0,25255000.0,,,234000.0,1231000.0,616000.0,3012000.0,9800000.0,16686000.0,19348000.0,29320000.0,,1187000.0,616000.0,2628000.0,16686000.0,20591000.0,,234000.0,616000.0,9800000.0,19348000.0,,1187000.0,3012000.0,29377000.0,,3012000.0,1187000.0,,CommonMetricExtracted
Taxes,,,,,12267000.0,10270000.0,-17012000.0,-579000.0,1222000.0,632000.0,7000.0,88000.0,118000.0,1738000.0,-26216000.0,22471000.0,24900000.0,41707000.0,47770000.0,87360000.0,,,12267000.0,-17012000.0,1222000.0,7000.0,118000.0,-26216000.0,24900000.0,47770000.0,,10270000.0,1222000.0,88000.0,-26216000.0,41707000.0,,12267000.0,1222000.0,118000.0,24900000.0,,10270000.0,7000.0,22471000.0,,7000.0,10270000.0,,CommonMetricExtracted
NetIncome,,,,,23704000.0,19087000.0,-35900000.0,-297000.0,-73929000.0,-9781000.0,-20402000.0,-9238000.0,11617000.0,,,42306000.0,62645000.0,106461000.0,138655000.0,257461000.0,,,23704000.0,-35900000.0,-73929000.0,-20402000.0,11617000.0,,62645000.0,138655000.0,,19087000.0,-73929000.0,-9238000.0,,106461000.0,,23704000.0,-73929000.0,11617000.0,62645000.0,,19087000.0,-20402000.0,42306000.0,,-20402000.0,19087000.0,,CommonMetricExtracted
Cash,,,,,,,,,,22843000.0,4426000.0,42785000.0,83953000.0,94095000.0,,66185000.0,81840000.0,181544000.0,471563000.0,664195000.0,,,,,22843000.0,42785000.0,94095000.0,66185000.0,181544000.0,664195000.0,,,4426000.0,94095000.0,81840000.0,664195000.0,,,42785000.0,66185000.0,664195000.0,,22843000.0,,664195000.0,22843000.0,664195000.0,664195000.0,664195000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,14122000.0,17506000.0,5811000.0,,,,,,,,,14122000.0,5811000.0,,,,,,5811000.0,,,,,5811000.0,,,,5811000.0,,5811000.0,5811000.0,5811000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,176329000.0,164023000.0,164758000.0,,156974000.0,134921000.0,175908000.0,278526000.0,302616000.0,,361543000.0,434691000.0,597254000.0,847979000.0,1021880000.0,,,176329000.0,164758000.0,156974000.0,175908000.0,302616000.0,361543000.0,597254000.0,1021880000.0,,164758000.0,134921000.0,302616000.0,434691000.0,1021880000.0,,164758000.0,175908000.0,361543000.0,1021880000.0,,156974000.0,,1021880000.0,156974000.0,1021880000.0,1021880000.0,1021880000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,114745000.0,54050000.0,54820000.0,,54820000.0,54820000.0,54820000.0,85231000.0,85231000.0,,192014000.0,259791000.0,262692000.0,281117000.0,264597000.0,,,114745000.0,54820000.0,54820000.0,54820000.0,85231000.0,192014000.0,262692000.0,264597000.0,,54820000.0,54820000.0,85231000.0,259791000.0,264597000.0,,54820000.0,54820000.0,192014000.0,264597000.0,,54820000.0,,264597000.0,54820000.0,264597000.0,264597000.0,264597000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,0.0,44818000.0,42418000.0,,244887000.0,303223000.0,299123000.0,328397000.0,316390000.0,,,,,,0.0,42418000.0,244887000.0,299123000.0,316390000.0,,,,42418000.0,303223000.0,316390000.0,,,0.0,244887000.0,316390000.0,,,,316390000.0,,316390000.0,316390000.0,316390000.0,CommonMetricExtracted
TotalAssets,,,,,,367131000.0,303831000.0,331510000.0,,306451000.0,267284000.0,301823000.0,463298000.0,482573000.0,,952694000.0,1234774000.0,1441620000.0,1777184000.0,2016774000.0,,,367131000.0,331510000.0,306451000.0,301823000.0,482573000.0,952694000.0,1441620000.0,2016774000.0,,331510000.0,267284000.0,482573000.0,1234774000.0,2016774000.0,,331510000.0,301823000.0,952694000.0,2016774000.0,,306451000.0,,2016774000.0,306451000.0,2016774000.0,2016774000.0,2016774000.0,CommonMetricExtracted
ShorttermDebt,,,,,,73000.0,573000.0,73000.0,,965000.0,5192000.0,3845000.0,3978000.0,2899000.0,,77434000.0,28230000.0,32610000.0,26520000.0,26423000.0,,,73000.0,73000.0,965000.0,3845000.0,2899000.0,77434000.0,32610000.0,26423000.0,,73000.0,5192000.0,2899000.0,28230000.0,26423000.0,,73000.0,3845000.0,77434000.0,26423000.0,,965000.0,,26423000.0,965000.0,26423000.0,26423000.0,26423000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,37631000.0,34428000.0,47796000.0,,66792000.0,58959000.0,67097000.0,97457000.0,99426000.0,,95201000.0,144982000.0,121887000.0,145968000.0,130420000.0,,,37631000.0,47796000.0,66792000.0,67097000.0,99426000.0,95201000.0,121887000.0,130420000.0,,47796000.0,58959000.0,99426000.0,144982000.0,130420000.0,,47796000.0,67097000.0,95201000.0,130420000.0,,66792000.0,,130420000.0,66792000.0,130420000.0,130420000.0,130420000.0,CommonMetricExtracted
CurrentLiability,,,,,,75971000.0,74614000.0,82183000.0,,109819000.0,110624000.0,151914000.0,253720000.0,255705000.0,6200000.0,471133000.0,530308000.0,738725000.0,1183848000.0,1327073000.0,,,75971000.0,82183000.0,109819000.0,151914000.0,255705000.0,471133000.0,738725000.0,1327073000.0,,82183000.0,110624000.0,255705000.0,530308000.0,1327073000.0,,82183000.0,151914000.0,471133000.0,1327073000.0,,109819000.0,6200000.0,1327073000.0,109819000.0,1327073000.0,1327073000.0,1327073000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,1229000.0,7400000.0,19542000.0,20650000.0,45219000.0,54295000.0,49080000.0,,,,,,,1229000.0,19542000.0,45219000.0,49080000.0,,,,1229000.0,20650000.0,49080000.0,,,,19542000.0,49080000.0,,,7400000.0,49080000.0,,49080000.0,49080000.0,49080000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,310313000.0,,683965000.0,874547000.0,963821000.0,1153331000.0,1190296000.0,,,,,,,310313000.0,683965000.0,963821000.0,1190296000.0,,,,310313000.0,874547000.0,1190296000.0,,,,683965000.0,1190296000.0,,,,1190296000.0,,1190296000.0,1190296000.0,1190296000.0,CommonMetricExtracted
ShareholderEquity,,,,159116000.0,230766000.0,250429000.0,214838000.0,212586000.0,,141148000.0,95754000.0,108090000.0,146189000.0,172260000.0,,268729000.0,360227000.0,477799000.0,623853000.0,826478000.0,,159116000.0,250429000.0,212586000.0,141148000.0,108090000.0,172260000.0,268729000.0,477799000.0,826478000.0,230766000.0,212586000.0,95754000.0,172260000.0,360227000.0,826478000.0,159116000.0,212586000.0,108090000.0,268729000.0,826478000.0,230766000.0,141148000.0,,826478000.0,141148000.0,826478000.0,826478000.0,826478000.0,CommonMetricExtracted
OperatingCashFlow,,,,,47346000.0,47073000.0,20988000.0,24789000.0,-21562000.0,-10513000.0,8969000.0,44274000.0,24767000.0,39474000.0,42067000.0,122896000.0,158932000.0,219116000.0,478584000.0,497104000.0,,,47346000.0,20988000.0,-21562000.0,8969000.0,24767000.0,42067000.0,158932000.0,478584000.0,,47073000.0,-21562000.0,44274000.0,42067000.0,219116000.0,,47346000.0,-21562000.0,24767000.0,158932000.0,,47073000.0,8969000.0,122896000.0,,8969000.0,47073000.0,,CommonMetricExtracted
